Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
hard,0,200,100000,56,60,4,0,0,0.005633869997836882
hard,1,200,100000,56,60,4,0,0,0.006307592000666773
hard,2,200,100000,54,59,5,0,0,0.005028668001614278
hard,3,200,100000,56,60,4,0,0,0.0054502180028066505
hard,4,200,100000,55,59,4,0,0,0.006793738997657783
hard,5,200,100000,55,59,4,0,0,0.008616398001322523
hard,6,200,100000,56,60,4,0,0,0.00888129400118487
hard,7,200,100000,56,60,4,0,0,0.005725584996980615
hard,8,200,100000,55,59,4,0,0,0.00925219999771798
hard,9,200,100000,56,60,4,0,0,0.007076072000927525
uniform,0,250,150,100,101,1,0,0,0.016901973001949955
uniform,1,500,150,207,210,3,0,0,0.04146178000155487
uniform,2,500,150,198,201,3,0,0,0.037784509997436544
uniform,3,250,150,97,99,2,0,0,0.008848863999446621
uniform,4,1000,150,399,404,5,0,0,0.14308701399932033
uniform,5,1000,150,399,404,5,0,0,0.14351666400034446
uniform,6,1000,150,394,400,6,0,0,0.14507898700321675
uniform,7,500,150,196,199,3,0,0,0.040387862998613855
uniform,8,250,150,103,105,2,0,0,0.010044758000731235
uniform,9,250,150,101,102,1,0,0,0.009317797001131112
uniform,10,120,150,49,49,0,1,0,0.003959132001909893
uniform,11,250,150,105,107,2,0,0,0.016129943000123603
uniform,12,250,150,105,107,2,0,0,0.01041202999840607
uniform,13,1000,150,395,399,4,0,0,0.14520208000249113
uniform,14,500,150,201,204,3,0,0,0.040713790000154404
uniform,15,250,150,102,104,2,0,0,0.00892522299909615
uniform,16,120,150,49,50,1,0,0,0.00413549599761609
uniform,17,500,150,202,205,3,0,0,0.04301946899795439
uniform,18,120,150,52,52,0,1,0,0.0024378950001846533
uniform,19,500,150,204,206,2,0,0,0.04767310000170255
uniform,20,120,150,52,53,1,0,0,0.002572847002738854
uniform,21,1000,150,393,398,5,0,0,0.1421973579999758
uniform,22,1000,150,411,416,5,0,0,0.14026335599919548
uniform,23,250,150,100,102,2,0,0,0.01030066900057136
uniform,24,250,150,100,101,1,0,0,0.009663965000072494
uniform,25,500,150,199,202,3,0,0,0.038876006998179946
uniform,26,250,150,105,106,1,0,0,0.009020876001159195
uniform,27,120,150,48,49,1,0,0,0.002610781000839779
uniform,28,120,150,50,50,0,1,0,0.003351764000399271
uniform,29,500,150,204,207,3,0,0,0.04769403899990721
uniform,30,500,150,202,204,2,0,0,0.039096001997677376
uniform,31,1000,150,411,416,5,0,0,0.1422535040001094
uniform,32,500,150,204,207,3,0,0,0.03891312099949573
uniform,33,500,150,198,201,3,0,0,0.0384465459974308
uniform,34,120,150,50,51,1,0,0,0.002476270001352532
uniform,35,250,150,100,101,1,0,0,0.01360275400293176
uniform,36,250,150,102,103,1,0,0,0.014951400000427384
uniform,37,120,150,49,50,1,0,0,0.004255600000760751
uniform,38,120,150,46,47,1,0,0,0.003503446998365689
uniform,39,1000,150,404,409,5,0,0,0.1501413260011759
uniform,40,1000,150,396,401,5,0,0,0.1418523770007596
uniform,41,1000,150,399,403,4,0,0,0.14186214200162794
uniform,42,500,150,200,203,3,0,0,0.03836757099998067
uniform,43,500,150,201,204,3,0,0,0.03931832600210328
uniform,44,250,150,101,104,3,0,0,0.009236027999577345
uniform,45,120,150,48,49,1,0,0,0.0024969890000647865
uniform,46,500,150,200,202,2,0,0,0.04056892600056017
uniform,47,1000,150,404,407,3,0,0,0.14232534899929306
uniform,48,250,150,101,102,1,0,0,0.010309471999789821
uniform,49,250,150,102,104,2,0,0,0.00980303200049093
uniform,50,250,150,99,100,1,0,0,0.014752126000530552
uniform,51,500,150,196,198,2,0,0,0.04363517599995248
uniform,52,250,150,102,103,1,0,0,0.009330447002867004
uniform,53,500,150,206,209,3,0,0,0.041591975998017006
uniform,54,120,150,48,49,1,0,0,0.002392835998762166
uniform,55,1000,150,400,406,6,0,0,0.13777297199703753
uniform,56,500,150,196,199,3,0,0,0.040392430000792956
uniform,57,1000,150,399,403,4,0,0,0.14656845900026383
uniform,58,120,150,49,50,1,0,0,0.002395391999016283
uniform,59,120,150,49,50,1,0,0,0.0025059120016521774
uniform,60,1000,150,406,411,5,0,0,0.14984040499984985
uniform,61,500,150,202,205,3,0,0,0.04092819600191433
uniform,62,1000,150,397,402,5,0,0,0.13772450600299635
uniform,63,120,150,49,50,1,0,0,0.0025147160013148095
uniform,64,250,150,101,103,2,0,0,0.014490571000351338
uniform,65,1000,150,401,405,4,0,0,0.14357590600047843
uniform,66,120,150,48,49,1,0,0,0.0028190340017317794
uniform,67,120,150,52,52,0,1,0,0.003793885000050068
uniform,68,500,150,206,207,1,0,0,0.04035313600252266
uniform,69,120,150,48,49,1,0,0,0.0024677469991729595
uniform,70,1000,150,400,404,4,0,0,0.14159187399855
uniform,71,120,150,46,47,1,0,0,0.0026078760020027403
uniform,72,120,150,49,49,0,1,0,0.003916443001799053
uniform,73,120,150,50,50,0,1,0,0.002623555999889504
uniform,74,500,150,202,205,3,0,0,0.04746184200121206
uniform,75,250,150,100,101,1,0,0,0.009277012002712581
uniform,76,1000,150,397,404,7,0,0,0.14471449999837205
uniform,77,250,150,105,107,2,0,0,0.014300377999461489
uniform,78,1000,150,404,408,4,0,0,0.14216511099948548
uniform,79,1000,150,402,408,6,0,0,0.14226676099860924
triplet,0,60,1000,20,23,3,0,0,0.0005792709998786449
triplet,1,249,1000,83,94,11,0,0,0.010357668001233833
triplet,2,249,1000,83,95,12,0,0,0.011695782999595394
triplet,3,120,1000,40,46,6,0,0,0.0044223180011613294
triplet,4,501,1000,167,190,23,0,0,0.05243067199990037
triplet,5,60,1000,20,23,3,0,0,0.0005809270005556755
triplet,6,120,1000,40,47,7,0,0,0.0024572269976488315
triplet,7,249,1000,83,95,12,0,0,0.01149663199976203
triplet,8,501,1000,167,189,22,0,0,0.04665458100134856
triplet,9,249,1000,83,95,12,0,0,0.011842380998132285
triplet,10,120,1000,40,45,5,0,0,0.0023256300009961706
triplet,11,60,1000,20,23,3,0,0,0.0008200010015571024
triplet,12,120,1000,40,46,6,0,0,0.003044628996576648
triplet,13,249,1000,83,96,13,0,0,0.011954814002820058
triplet,14,60,1000,20,23,3,0,0,0.0013598029981949367
triplet,15,501,1000,167,190,23,0,0,0.046346582003025105
triplet,16,60,1000,20,23,3,0,0,0.0006387760004145093
triplet,17,249,1000,83,94,11,0,0,0.009163364000414731
triplet,18,60,1000,20,23,3,0,0,0.0008190069966076408
triplet,19,501,1000,167,190,23,0,0,0.04339383300248301
triplet,20,501,1000,167,189,22,0,0,0.03968073099895264
triplet,21,501,1000,167,190,23,0,0,0.03746009699898423
triplet,22,501,1000,167,190,23,0,0,0.04069089900076506
triplet,23,120,1000,40,46,6,0,0,0.002307538998138625
triplet,24,501,1000,167,191,24,0,0,0.03693746100179851
triplet,25,249,1000,83,94,11,0,0,0.012174593997769989
triplet,26,120,1000,40,46,6,0,0,0.0026084489982167725
triplet,27,120,1000,40,45,5,0,0,0.0024132599974109326
triplet,28,60,1000,20,23,3,0,0,0.0008177279996743891
