Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.09,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.08,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.08,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.08,0.0
triplet,60,1000.0,20.0,22.0,23.0,2.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.08,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.08,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.09,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.08,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.09,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.08,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.08,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.1,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.2,0.0
triplet,120,1000.0,40.0,43.0,47.0,3.0,7.0,0.19,0.0
triplet,120,1000.0,40.0,43.0,45.0,3.0,5.0,0.19,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.17,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.21,0.01
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.18,0.0
triplet,120,1000.0,40.0,42.0,45.0,2.0,5.0,0.19,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.18,0.0
triplet,120,1000.0,40.0,42.0,45.0,2.0,5.0,0.17,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.22,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.21,0.0
triplet,120,1000.0,40.0,43.0,45.0,3.0,5.0,0.2,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.22,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.19,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.22,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.19,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.19,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.17,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.22,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.27,0.0
triplet,249,1000.0,83.0,87.0,94.0,4.0,11.0,0.74,0.02
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,0.63,0.02
triplet,249,1000.0,83.0,90.0,95.0,7.0,12.0,0.6,0.01
triplet,249,1000.0,83.0,90.0,95.0,7.0,12.0,0.57,0.01
triplet,249,1000.0,83.0,90.0,96.0,7.0,13.0,0.57,0.02
triplet,249,1000.0,83.0,87.0,94.0,4.0,11.0,0.58,0.01
triplet,249,1000.0,83.0,89.0,94.0,6.0,11.0,0.58,0.01
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,0.59,0.01
triplet,249,1000.0,83.0,89.0,96.0,6.0,13.0,0.61,0.01
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,0.58,0.01
triplet,249,1000.0,83.0,90.0,95.0,7.0,12.0,0.67,0.01
triplet,249,1000.0,83.0,90.0,95.0,7.0,12.0,0.69,0.01
triplet,249,1000.0,83.0,88.0,95.0,5.0,12.0,0.65,0.02
triplet,249,1000.0,83.0,89.0,94.0,6.0,11.0,0.61,0.01
triplet,249,1000.0,83.0,89.0,94.0,6.0,11.0,0.61,0.02
triplet,249,1000.0,83.0,88.0,95.0,5.0,12.0,0.57,0.01
triplet,249,1000.0,83.0,90.0,96.0,7.0,13.0,0.56,0.01
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,0.57,0.01
triplet,249,1000.0,83.0,90.0,96.0,7.0,13.0,0.7,0.02
triplet,249,1000.0,83.0,90.0,96.0,7.0,13.0,0.74,0.02
triplet,501,1000.0,167.0,182.0,190.0,15.0,23.0,1.96,0.05
triplet,501,1000.0,167.0,181.0,189.0,14.0,22.0,1.78,0.05
triplet,501,1000.0,167.0,181.0,190.0,14.0,23.0,1.88,0.05
triplet,501,1000.0,167.0,182.0,190.0,15.0,23.0,1.91,0.05
triplet,501,1000.0,167.0,180.0,189.0,13.0,22.0,1.95,0.05
triplet,501,1000.0,167.0,182.0,190.0,15.0,23.0,1.8,0.05
triplet,501,1000.0,167.0,181.0,190.0,14.0,23.0,1.93,0.05
triplet,501,1000.0,167.0,182.0,191.0,15.0,24.0,1.95,0.05
triplet,501,1000.0,167.0,184.0,190.0,17.0,23.0,1.88,0.05
triplet,501,1000.0,167.0,181.0,191.0,14.0,24.0,1.85,0.06
triplet,501,1000.0,167.0,184.0,189.0,17.0,22.0,1.89,0.05
triplet,501,1000.0,167.0,180.0,191.0,13.0,24.0,1.91,0.05
triplet,501,1000.0,167.0,182.0,190.0,15.0,23.0,1.93,0.06
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,1.97,0.05
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,1.86,0.05
triplet,501,1000.0,167.0,182.0,190.0,15.0,23.0,1.92,0.05
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,2.28,0.07
triplet,501,1000.0,167.0,179.0,189.0,12.0,22.0,2.45,0.07
