Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,17.94,0.08
triplet,501,1000.0,167.0,169.0,189.0,2.0,22.0,24.8,0.07
triplet,501,1000.0,167.0,171.0,190.0,4.0,23.0,24.16,0.08
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,23.64,0.06
triplet,501,1000.0,167.0,168.0,189.0,1.0,22.0,24.05,0.07
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,22.91,0.07
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,23.58,0.1
triplet,501,1000.0,167.0,170.0,191.0,3.0,24.0,23.64,0.07
triplet,501,1000.0,167.0,171.0,190.0,4.0,23.0,23.23,0.07
triplet,501,1000.0,167.0,172.0,191.0,5.0,24.0,23.87,0.07
triplet,501,1000.0,167.0,171.0,189.0,4.0,22.0,23.42,0.08
triplet,501,1000.0,167.0,172.0,191.0,5.0,24.0,24.72,0.07
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,24.24,0.08
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,25.56,0.09
triplet,501,1000.0,167.0,172.0,190.0,5.0,23.0,24.33,0.08
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,28.25,0.07
triplet,501,1000.0,167.0,171.0,190.0,4.0,23.0,24.73,0.06
triplet,501,1000.0,167.0,171.0,189.0,4.0,22.0,22.83,0.09
triplet,501,1000.0,167.0,170.0,191.0,3.0,24.0,23.65,0.06
triplet,501,1000.0,167.0,171.0,191.0,4.0,24.0,23.0,0.08
