Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,0,250,150,100,101,1,0,1,0.021197080000092683
uniform,0,250,150,100,101,1,0,2,0.03961615800017171
uniform,0,250,150,100,101,1,0,3,0.055681406000076095
uniform,0,250,150,100,101,1,0,4,0.0698556830002417
uniform,0,250,150,100,100,0,1,5,0.08452887699968414
uniform,1,500,150,207,210,3,0,1,0.07288095999956568
uniform,1,500,150,207,210,3,0,2,0.12268955299987283
uniform,1,500,150,207,210,3,0,3,0.1676415409992842
uniform,1,500,150,207,210,3,0,4,0.21788072099934652
uniform,1,500,150,207,210,3,0,5,0.26665246299944556
uniform,1,500,150,207,209,2,0,6,0.32573753199994826
uniform,1,500,150,207,209,2,0,7,0.37689156899978116
uniform,1,500,150,207,209,2,0,8,0.4351966519998314
uniform,1,500,150,207,209,2,0,9,0.47906258199964213
uniform,1,500,150,207,209,2,0,10,0.5177822429996013
uniform,1,500,150,207,209,2,0,11,0.5636168659993928
uniform,1,500,150,207,209,2,0,12,0.6025715869991473
uniform,1,500,150,207,209,2,0,13,0.6448942939996414
uniform,1,500,150,207,209,2,0,14,0.6830415909998919
uniform,1,500,150,207,209,2,0,15,0.7215055629994822
uniform,1,500,150,207,209,2,0,16,0.7600040179995631
uniform,1,500,150,207,209,2,0,17,0.8043666879993907
uniform,1,500,150,207,209,2,0,18,0.8499701900000218
uniform,1,500,150,207,209,2,0,19,0.897570784999516
uniform,1,500,150,207,209,2,0,20,0.9398566999998366
uniform,1,500,150,207,208,1,0,21,0.9824390469993887
uniform,1,500,150,207,208,1,0,22,1.0260130419992493
uniform,2,500,150,198,201,3,0,1,0.06906152000010479
uniform,2,500,150,198,201,3,0,2,0.11494192500049394
uniform,2,500,150,198,201,3,0,3,0.16973448200042185
uniform,2,500,150,198,201,3,0,4,0.21216219200050546
uniform,2,500,150,198,201,3,0,5,0.25549707699974533
uniform,2,500,150,198,200,2,0,6,0.2973166250003487
uniform,2,500,150,198,200,2,0,7,0.3485507579998739
uniform,2,500,150,198,200,2,0,8,0.39808637799978897
uniform,2,500,150,198,200,2,0,9,0.44532700200034014
uniform,2,500,150,198,200,2,0,10,0.4856186900005923
uniform,2,500,150,198,200,2,0,11,0.5281546410005831
uniform,2,500,150,198,200,2,0,12,0.5679181390005397
uniform,2,500,150,198,200,2,0,13,0.6140858549997574
uniform,2,500,150,198,200,2,0,14,0.6647376890005035
uniform,2,500,150,198,200,2,0,15,0.7085483070004557
uniform,2,500,150,198,200,2,0,16,0.7495428740003263
uniform,2,500,150,198,199,1,0,17,0.7925689250005234
uniform,2,500,150,198,199,1,0,18,0.8383228990005591
uniform,2,500,150,198,199,1,0,19,0.8902406600000177
uniform,2,500,150,198,199,1,0,20,0.9300946960001966
uniform,2,500,150,198,199,1,0,21,0.9697116380002626
uniform,2,500,150,198,199,1,0,22,1.0099617510004464
uniform,3,250,150,97,99,2,0,1,0.022380157000043255
uniform,3,250,150,97,99,2,0,2,0.039150984000116296
uniform,3,250,150,97,99,2,0,3,0.051011935000133235
uniform,3,250,150,97,99,2,0,4,0.06590638699981355
uniform,3,250,150,97,99,2,0,5,0.08217110599980515
uniform,3,250,150,97,99,2,0,6,0.09680115500032116
uniform,3,250,150,97,99,2,0,7,0.1085661209999671
uniform,3,250,150,97,99,2,0,8,0.12126451699987228
uniform,3,250,150,97,99,2,0,9,0.14049303699994198
uniform,3,250,150,97,98,1,0,10,0.156321847000072
uniform,3,250,150,97,98,1,0,11,0.17126630199982174
uniform,3,250,150,97,98,1,0,12,0.18481896100001904
uniform,3,250,150,97,98,1,0,13,0.1979542630006108
uniform,3,250,150,97,98,1,0,14,0.21227231600005325
uniform,3,250,150,97,98,1,0,15,0.22525265700005548
uniform,3,250,150,97,98,1,0,16,0.23837762099992688
uniform,3,250,150,97,98,1,0,17,0.2512408669999786
uniform,3,250,150,97,98,1,0,18,0.26411548299984133
uniform,3,250,150,97,98,1,0,19,0.2785258800004158
uniform,3,250,150,97,98,1,0,20,0.29475430700040306
uniform,3,250,150,97,98,1,0,21,0.30798603000039293
uniform,3,250,150,97,98,1,0,22,0.3229189950006912
uniform,3,250,150,97,98,1,0,23,0.33786353600044094
uniform,3,250,150,97,98,1,0,24,0.35059890299999097
uniform,3,250,150,97,98,1,0,25,0.36396525200052565
uniform,3,250,150,97,98,1,0,26,0.3805265640003199
uniform,3,250,150,97,98,1,0,27,0.393749614000626
uniform,3,250,150,97,98,1,0,28,0.406268526000531
uniform,3,250,150,97,98,1,0,29,0.42223202000059246
uniform,3,250,150,97,98,1,0,30,0.43529715500062593
uniform,3,250,150,97,98,1,0,31,0.45020638999994844
uniform,3,250,150,97,98,1,0,32,0.46790428300028
uniform,3,250,150,97,98,1,0,33,0.48249172900068515
uniform,3,250,150,97,98,1,0,34,0.4988134290006201
uniform,3,250,150,97,98,1,0,35,0.5116433430002871
uniform,3,250,150,97,98,1,0,36,0.5275450919998548
uniform,3,250,150,97,98,1,0,37,0.5424904750007045
uniform,3,250,150,97,98,1,0,38,0.5562813090000418
uniform,3,250,150,97,98,1,0,39,0.5693982210004833
uniform,3,250,150,97,98,1,0,40,0.5839501569998902
uniform,3,250,150,97,98,1,0,41,0.6012293620005948
uniform,3,250,150,97,98,1,0,42,0.6149074360000668
uniform,3,250,150,97,98,1,0,43,0.6312001030000829
uniform,3,250,150,97,98,1,0,44,0.6425689960005911
uniform,3,250,150,97,98,1,0,45,0.6538075570006185
uniform,3,250,150,97,98,1,0,46,0.6700572979998469
uniform,3,250,150,97,98,1,0,47,0.6829319610005768
uniform,3,250,150,97,98,1,0,48,0.6987580949999028
uniform,3,250,150,97,98,1,0,49,0.7166671740005768
uniform,3,250,150,97,98,1,0,50,0.7297913789998347
uniform,3,250,150,97,98,1,0,51,0.7453674160005903
uniform,3,250,150,97,98,1,0,52,0.7611725430006118
uniform,3,250,150,97,98,1,0,53,0.7761832780006443
uniform,3,250,150,97,98,1,0,54,0.7924788210002589
uniform,3,250,150,97,98,1,0,55,0.8076164009999047
uniform,3,250,150,97,98,1,0,56,0.8199565450004229
uniform,3,250,150,97,98,1,0,57,0.8317994440003531
uniform,3,250,150,97,98,1,0,58,0.8464894750004532
uniform,3,250,150,97,98,1,0,59,0.8640938380003718
uniform,3,250,150,97,98,1,0,60,0.8791263780003646
uniform,3,250,150,97,98,1,0,61,0.8928177850002612
uniform,3,250,150,97,98,1,0,62,0.9079119739999442
uniform,3,250,150,97,98,1,0,63,0.9241566110003987
uniform,3,250,150,97,98,1,0,64,0.9359482180007035
uniform,3,250,150,97,98,1,0,65,0.9570163230000617
uniform,3,250,150,97,98,1,0,66,0.9734136120005132
uniform,3,250,150,97,98,1,0,67,0.9864223650001804
uniform,3,250,150,97,98,1,0,68,0.9994542590002311
uniform,4,1000,150,399,403,4,0,1,0.3177115930002401
uniform,4,1000,150,399,403,4,0,2,0.4799547190004887
uniform,4,1000,150,399,403,4,0,3,0.6414858910002295
uniform,4,1000,150,399,403,4,0,4,0.7800249400006578
uniform,4,1000,150,399,403,4,0,5,0.9309130940000614
uniform,4,1000,150,399,402,3,0,6,1.0772821059999842
uniform,5,1000,150,399,404,5,0,1,0.2943751760003579
uniform,5,1000,150,399,404,5,0,2,0.4427764820002267
uniform,5,1000,150,399,404,5,0,3,0.6009665480005424
uniform,5,1000,150,399,404,5,0,4,0.7520335409999461
uniform,5,1000,150,399,404,5,0,5,0.9035090350007522
uniform,5,1000,150,399,404,5,0,6,1.0523769010005708
uniform,6,1000,150,394,400,6,0,1,0.2637510029999248
uniform,6,1000,150,394,400,6,0,2,0.4021368239991716
uniform,6,1000,150,394,399,5,0,3,0.5334015089993045
uniform,6,1000,150,394,399,5,0,4,0.6992190399996616
uniform,6,1000,150,394,399,5,0,5,0.85743440799979
uniform,6,1000,150,394,399,5,0,6,1.0117458779996014
uniform,7,500,150,196,199,3,0,1,0.08102338299977419
uniform,7,500,150,196,199,3,0,2,0.12600755999937974
uniform,7,500,150,196,199,3,0,3,0.16728329999932612
uniform,7,500,150,196,199,3,0,4,0.20980973999940034
uniform,7,500,150,196,199,3,0,5,0.24682748499981244
uniform,7,500,150,196,199,3,0,6,0.29434508599933906
uniform,7,500,150,196,199,3,0,7,0.34112143099991954
uniform,7,500,150,196,199,3,0,8,0.3864910669999517
uniform,7,500,150,196,199,3,0,9,0.43164021799930197
uniform,7,500,150,196,199,3,0,10,0.47940652099987346
uniform,7,500,150,196,199,3,0,11,0.5233165839999856
uniform,7,500,150,196,199,3,0,12,0.5665656529999978
uniform,7,500,150,196,199,3,0,13,0.6088928299996041
uniform,7,500,150,196,198,2,0,14,0.6514658729993243
uniform,7,500,150,196,198,2,0,15,0.6948239670000476
uniform,7,500,150,196,198,2,0,16,0.7396321959995475
