Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,0,250,150,100,100,0,1,8767,150.01191154199478
uniform,1,500,150,207,207,0,1,2715,150.0419603679984
uniform,2,500,150,198,198,0,1,2672,150.0249883370052
uniform,3,250,150,97,97,0,1,8818,150.00722271900304
uniform,4,1000,150,399,399,0,1,726,150.10090832800051
uniform,5,1000,150,399,399,0,1,733,150.0478937010048
uniform,6,1000,150,394,394,0,1,739,150.16435847100365
uniform,7,500,150,196,196,0,1,2710,150.04754785299883
uniform,8,250,150,103,103,0,1,9468,150.01318842000182
uniform,9,250,150,101,101,0,1,9068,150.0007087030026
uniform,10,120,150,49,49,0,1,29090,150.00166303999868
uniform,11,250,150,105,106,1,0,9163,150.01338799399673
uniform,12,250,150,105,105,0,1,9440,150.00162268200074
uniform,13,1000,150,395,395,0,1,745,150.06986591299938
uniform,14,500,150,201,201,0,1,2706,150.04475090099731
uniform,15,250,150,102,103,1,0,9126,150.00552125799732
uniform,16,120,150,49,49,0,1,29537,150.0030168489975
uniform,17,500,150,202,202,0,1,2712,150.0406995089943
uniform,18,120,150,52,52,0,1,29868,150.00374002399622
uniform,19,500,150,204,204,0,1,2657,150.20063612100057
uniform,20,120,150,52,52,0,1,27249,150.00024192399724
uniform,21,1000,150,393,393,0,1,594,150.1534899659964
uniform,22,1000,150,411,412,1,0,540,150.17282601800252
uniform,23,250,150,100,100,0,1,7219,150.02644954899733
uniform,24,250,150,100,100,0,1,7541,150.01283545800106
uniform,25,500,150,199,199,0,1,2345,150.00405240099644
uniform,26,250,150,105,105,0,1,7074,150.01743727000576
uniform,27,120,150,48,48,0,1,22451,150.00282433599932
uniform,28,120,150,50,50,0,1,22202,150.00169096000172
uniform,29,500,150,204,204,0,1,2149,150.05028875599965
uniform,30,500,150,202,202,0,1,2101,150.05060024299746
uniform,31,1000,150,411,411,0,1,509,150.02493544200115
uniform,32,500,150,204,204,0,1,1034,150.02440596499946
uniform,33,500,150,198,198,0,1,1798,150.04260120500112
uniform,34,120,150,50,50,0,1,20759,150.00653752699873
uniform,35,250,150,100,100,0,1,7430,150.00312129699887
uniform,36,250,150,102,102,0,1,7422,150.00326445999963
uniform,37,120,150,49,49,0,1,23141,150.0036997770003
uniform,38,120,150,46,46,0,1,20836,150.00363607300096
uniform,39,1000,150,404,404,0,1,493,150.13236623800185
uniform,40,1000,150,396,396,0,1,535,150.24387022600422
uniform,41,1000,150,399,399,0,1,556,150.10041508399445
uniform,42,500,150,200,200,0,1,2195,150.0189362470046
uniform,43,500,150,201,201,0,1,2081,150.05311802399956
uniform,44,250,150,101,101,0,1,7292,150.00008172899834
uniform,45,120,150,48,48,0,1,19283,150.00334151300194
uniform,46,500,150,200,200,0,1,1983,150.02187377700466
uniform,47,1000,150,404,404,0,1,569,150.18030562299828
uniform,48,250,150,101,101,0,1,8748,150.01459601300303
uniform,49,250,150,102,102,0,1,8813,150.01170707200072
uniform,50,250,150,99,99,0,1,8749,150.0100030169997
uniform,51,500,150,196,196,0,1,2639,150.0412521420003
uniform,52,250,150,102,102,0,1,8877,150.00641858900053
uniform,53,500,150,206,206,0,1,2633,150.03519322800275
uniform,54,120,150,48,48,0,1,28386,150.00268391999998
uniform,55,1000,150,400,400,0,1,728,150.01391517100274
uniform,56,500,150,196,196,0,1,2674,150.01838665400282
uniform,57,1000,150,399,399,0,1,726,150.16697749099694
uniform,58,120,150,49,49,0,1,28657,150.00192476699885
uniform,59,120,150,49,49,0,1,29094,150.0004949380018
uniform,60,1000,150,406,406,0,1,721,150.0587479080059
uniform,61,500,150,202,202,0,1,2698,150.02263558399864
uniform,62,1000,150,397,397,0,1,730,150.1716415789997
uniform,63,120,150,49,49,0,1,28909,150.00317852400622
uniform,64,250,150,101,101,0,1,8915,150.01540584999748
uniform,65,1000,150,401,401,0,1,721,150.10548731499875
uniform,66,120,150,48,48,0,1,29696,150.00080891799735
uniform,67,120,150,52,52,0,1,30166,150.00031494899304
uniform,68,500,150,206,206,0,1,2519,150.00777881200338
uniform,69,120,150,48,48,0,1,22129,150.0010619370005
uniform,70,1000,150,400,400,0,1,673,150.0641349380021
uniform,71,120,150,46,46,0,1,27117,150.00236420999863
uniform,72,120,150,49,49,0,1,26790,150.00380076500005
uniform,73,120,150,50,50,0,1,19180,150.00157926200336
uniform,74,500,150,202,202,0,1,1771,150.0647032859997
uniform,75,250,150,100,100,0,1,7094,150.00084595200315
uniform,76,1000,150,397,398,1,0,624,150.154185419
uniform,77,250,150,105,105,0,1,7160,150.0025598860011
uniform,78,1000,150,404,404,0,1,581,150.05091794799955
uniform,79,1000,150,402,402,0,1,522,150.14812141499715
