Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.06,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.06,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.06,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.12,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.07,0.0
triplet,60,1000.0,20.0,22.0,23.0,2.0,3.0,0.05,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.09,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.09,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.06,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.08,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.06,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.07,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.15,0.0
triplet,120,1000.0,40.0,42.0,47.0,2.0,7.0,0.14,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.16,0.01
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.21,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.13,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.2,0.01
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.41,0.01
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.14,0.0
