Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.08,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.09,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.09,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.07,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.1,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,1.2,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.01,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.05,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.05,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.04,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,1.02,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.03,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.97,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.98,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.02,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,1.04,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.99,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.98,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.7,0.0
triplet,120,1000.0,40.0,41.0,47.0,1.0,7.0,2.75,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,2.83,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.79,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.81,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.79,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,2.81,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.66,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,2.67,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.66,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,2.68,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,2.81,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.71,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.8,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.6,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.75,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,3.01,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.64,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.71,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,2.62,0.0
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,8.54,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,8.78,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,8.79,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,8.56,0.01
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,8.62,0.01
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,8.58,0.01
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,8.84,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,8.66,0.01
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,10.21,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,8.3,0.01
