Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
hard,0,200,100000,56,60,4,0,0,0.004890236999926856
hard,1,200,100000,56,60,4,0,0,0.007255738000822021
hard,2,200,100000,54,59,5,0,0,0.008495351998135448
hard,3,200,100000,56,60,4,0,0,0.005228248002822511
hard,4,200,100000,55,59,4,0,0,0.005025718997785589
hard,5,200,100000,55,59,4,0,0,0.007494313998904545
hard,6,200,100000,56,60,4,0,0,0.0057015330021386035
hard,7,200,100000,56,60,4,0,0,0.007880919001763687
hard,8,200,100000,55,59,4,0,0,0.006616740000026766
hard,9,200,100000,56,60,4,0,0,0.006569544999365462
