Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.14,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.12,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.14,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.31,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.15,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.14,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.14,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.14,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.15,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.15,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.2,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.13,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.15,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.29,0.0
triplet,120,1000.0,40.0,41.0,47.0,1.0,7.0,0.34,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.31,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.33,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.34,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.3,0.0
triplet,120,1000.0,40.0,42.0,45.0,2.0,5.0,0.32,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.31,0.0
triplet,120,1000.0,40.0,42.0,45.0,2.0,5.0,0.31,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.31,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.3,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.32,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.31,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.34,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.37,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.37,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.34,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.33,0.0
triplet,120,1000.0,40.0,43.0,46.0,3.0,6.0,0.32,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.3,0.0
triplet,249,1000.0,83.0,86.0,94.0,3.0,11.0,1.03,0.01
triplet,249,1000.0,83.0,88.0,95.0,5.0,12.0,1.02,0.01
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,1.02,0.01
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,0.95,0.01
triplet,249,1000.0,83.0,89.0,96.0,6.0,13.0,1.05,0.01
triplet,249,1000.0,83.0,87.0,94.0,4.0,11.0,1.06,0.04
triplet,249,1000.0,83.0,89.0,94.0,6.0,11.0,1.01,0.01
triplet,249,1000.0,83.0,87.0,95.0,4.0,12.0,1.87,0.02
triplet,249,1000.0,83.0,87.0,96.0,4.0,13.0,1.28,0.02
triplet,249,1000.0,83.0,87.0,95.0,4.0,12.0,0.98,0.01
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,1.0,0.01
triplet,249,1000.0,83.0,88.0,95.0,5.0,12.0,0.93,0.01
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,0.94,0.01
triplet,249,1000.0,83.0,87.0,94.0,4.0,11.0,0.98,0.01
triplet,249,1000.0,83.0,89.0,94.0,6.0,11.0,1.02,0.01
triplet,249,1000.0,83.0,88.0,95.0,5.0,12.0,1.18,0.01
triplet,249,1000.0,83.0,89.0,96.0,6.0,13.0,1.0,0.01
triplet,249,1000.0,83.0,89.0,95.0,6.0,12.0,0.98,0.01
triplet,249,1000.0,83.0,88.0,96.0,5.0,13.0,0.95,0.01
triplet,249,1000.0,83.0,87.0,96.0,4.0,13.0,0.97,0.01
triplet,501,1000.0,167.0,179.0,190.0,12.0,23.0,3.39,0.05
triplet,501,1000.0,167.0,177.0,189.0,10.0,22.0,3.16,0.05
triplet,501,1000.0,167.0,177.0,190.0,10.0,23.0,3.58,0.05
triplet,501,1000.0,167.0,179.0,190.0,12.0,23.0,3.37,0.05
triplet,501,1000.0,167.0,179.0,189.0,12.0,22.0,3.56,0.06
triplet,501,1000.0,167.0,179.0,190.0,12.0,23.0,3.17,0.05
triplet,501,1000.0,167.0,178.0,190.0,11.0,23.0,3.08,0.06
triplet,501,1000.0,167.0,177.0,191.0,10.0,24.0,3.09,0.05
triplet,501,1000.0,167.0,179.0,190.0,12.0,23.0,3.34,0.05
triplet,501,1000.0,167.0,179.0,191.0,12.0,24.0,3.16,0.05
triplet,501,1000.0,167.0,177.0,189.0,10.0,22.0,3.15,0.06
triplet,501,1000.0,167.0,182.0,191.0,15.0,24.0,3.12,0.05
triplet,501,1000.0,167.0,180.0,190.0,13.0,23.0,3.19,0.05
triplet,501,1000.0,167.0,179.0,190.0,12.0,23.0,3.9,0.06
triplet,501,1000.0,167.0,179.0,190.0,12.0,23.0,4.13,0.11
triplet,501,1000.0,167.0,176.0,190.0,9.0,23.0,3.14,0.06
triplet,501,1000.0,167.0,178.0,190.0,11.0,23.0,3.24,0.05
triplet,501,1000.0,167.0,180.0,189.0,13.0,22.0,3.24,0.05
triplet,501,1000.0,167.0,176.0,191.0,9.0,24.0,3.1,0.05
triplet,501,1000.0,167.0,178.0,191.0,11.0,24.0,3.24,0.05
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.02,0.01
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.4,0.01
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.0
uniform,120,150.0,52.0,52.0,53.0,0.0,1.0,0.36,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.5,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.02,0.01
uniform,120,150.0,50.0,51.0,51.0,1.0,1.0,0.42,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,0.42,0.0
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.46,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.38,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.38,0.01
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.33,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.42,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.41,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.4,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.01
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.74,0.01
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.61,0.0
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.02,0.01
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.0
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.77,0.01
uniform,250,150.0,97.0,97.0,99.0,0.0,2.0,0.79,0.01
uniform,250,150.0,103.0,104.0,105.0,1.0,2.0,3.06,0.02
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,1.6,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,1.35,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,1.18,0.02
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,1.29,0.02
uniform,250,150.0,100.0,101.0,102.0,1.0,2.0,4.24,0.05
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,3.86,0.04
uniform,250,150.0,105.0,105.0,106.0,0.0,1.0,1.41,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,1.45,0.02
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,1.45,0.01
uniform,250,150.0,101.0,102.0,104.0,1.0,3.0,1.23,0.02
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,1.35,0.02
uniform,250,150.0,102.0,102.0,104.0,0.0,2.0,3.2,0.07
uniform,250,150.0,99.0,99.0,100.0,0.0,1.0,4.02,0.05
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,1.54,0.02
uniform,250,150.0,101.0,102.0,103.0,1.0,2.0,1.23,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,1.24,0.01
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,1.21,0.01
uniform,500,150.0,207.0,208.0,210.0,1.0,3.0,2.51,0.04
uniform,500,150.0,198.0,199.0,201.0,1.0,3.0,2.66,0.04
uniform,500,150.0,196.0,197.0,199.0,1.0,3.0,6.63,0.2
uniform,500,150.0,201.0,201.0,204.0,0.0,3.0,4.22,0.06
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,4.23,0.06
uniform,500,150.0,204.0,204.0,206.0,0.0,2.0,4.1,0.06
uniform,500,150.0,199.0,200.0,202.0,1.0,3.0,11.89,0.08
uniform,500,150.0,204.0,205.0,207.0,1.0,3.0,4.18,0.06
uniform,500,150.0,202.0,202.0,204.0,0.0,2.0,4.03,0.06
uniform,500,150.0,204.0,205.0,207.0,1.0,3.0,4.47,0.06
uniform,500,150.0,198.0,198.0,201.0,0.0,3.0,4.43,0.07
uniform,500,150.0,200.0,201.0,203.0,1.0,3.0,4.46,0.06
uniform,500,150.0,201.0,202.0,204.0,1.0,3.0,4.28,0.06
uniform,500,150.0,200.0,200.0,202.0,0.0,2.0,4.26,0.06
uniform,500,150.0,196.0,196.0,198.0,0.0,2.0,7.01,0.07
uniform,500,150.0,206.0,207.0,209.0,1.0,3.0,3.88,0.06
uniform,500,150.0,196.0,197.0,199.0,1.0,3.0,5.08,0.09
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,4.0,0.06
uniform,500,150.0,206.0,206.0,207.0,0.0,1.0,6.96,0.1
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,4.21,0.06
uniform,1000,150.0,399.0,400.0,404.0,1.0,5.0,12.61,0.24
uniform,1000,150.0,399.0,400.0,404.0,1.0,5.0,16.14,0.3
uniform,1000,150.0,394.0,395.0,400.0,1.0,6.0,16.35,0.26
uniform,1000,150.0,395.0,395.0,399.0,0.0,4.0,15.26,0.25
uniform,1000,150.0,393.0,393.0,398.0,0.0,5.0,14.99,0.28
uniform,1000,150.0,411.0,413.0,416.0,2.0,5.0,16.77,0.83
uniform,1000,150.0,411.0,411.0,416.0,0.0,5.0,15.77,0.3
uniform,1000,150.0,404.0,405.0,409.0,1.0,5.0,15.17,0.3
uniform,1000,150.0,396.0,397.0,401.0,1.0,5.0,16.72,0.98
uniform,1000,150.0,399.0,399.0,403.0,0.0,4.0,26.68,0.3
uniform,1000,150.0,404.0,405.0,407.0,1.0,3.0,14.99,0.28
uniform,1000,150.0,400.0,400.0,406.0,0.0,6.0,13.59,0.24
uniform,1000,150.0,399.0,400.0,403.0,1.0,4.0,23.88,0.25
uniform,1000,150.0,406.0,406.0,411.0,0.0,5.0,14.15,0.24
uniform,1000,150.0,397.0,398.0,402.0,1.0,5.0,13.42,0.22
uniform,1000,150.0,401.0,402.0,405.0,1.0,4.0,13.64,0.24
uniform,1000,150.0,400.0,400.0,404.0,0.0,4.0,26.87,0.3
uniform,1000,150.0,397.0,399.0,404.0,2.0,7.0,13.21,0.25
uniform,1000,150.0,404.0,404.0,408.0,0.0,4.0,13.2,0.23
uniform,1000,150.0,402.0,404.0,408.0,2.0,6.0,13.41,0.24
