Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.03,0.01
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.25,0.01
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.01,0.0
uniform,120,150.0,52.0,52.0,53.0,0.0,1.0,0.25,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.27,0.01
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.03,0.01
uniform,120,150.0,50.0,51.0,51.0,1.0,1.0,0.26,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,0.23,0.0
uniform,120,150.0,46.0,47.0,47.0,1.0,1.0,0.26,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.2,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.21,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.19,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.2,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.21,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.21,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.01
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.2,0.0
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.22,0.0
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.01,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.39,0.01
uniform,250,150.0,97.0,97.0,99.0,0.0,2.0,0.47,0.01
uniform,250,150.0,103.0,104.0,105.0,1.0,2.0,1.68,0.02
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,1.51,0.03
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,1.68,0.03
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,1.73,0.04
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,0.99,0.02
uniform,250,150.0,100.0,101.0,102.0,1.0,2.0,0.8,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.74,0.01
uniform,250,150.0,105.0,105.0,106.0,0.0,1.0,0.7,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.77,0.02
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,0.79,0.01
uniform,250,150.0,101.0,102.0,104.0,1.0,3.0,0.67,0.01
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,0.75,0.01
uniform,250,150.0,102.0,102.0,104.0,0.0,2.0,0.67,0.01
uniform,250,150.0,99.0,100.0,100.0,1.0,1.0,0.7,0.02
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,0.69,0.01
uniform,250,150.0,101.0,102.0,103.0,1.0,2.0,0.61,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.64,0.01
