Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
250.0,150.0,100.0,100.0,101.0,0.0,1.0,0.4949520099999063,0.01207612700000027
250.0,150.0,97.0,98.0,99.0,1.0,2.0,0.776567146999696,0.01648410799953126
250.0,150.0,103.0,105.0,105.0,2.0,2.0,0.7868555289996948,0.015384626000013668
250.0,150.0,101.0,103.0,102.0,2.0,1.0,0.8206088329998238,0.0173532039998463
500.0,150.0,207.0,210.0,210.0,3.0,3.0,2.303229707000355,0.07298125699981028
500.0,150.0,198.0,200.0,201.0,2.0,3.0,2.8978444900003524,0.06335284900069382
500.0,150.0,196.0,198.0,199.0,2.0,3.0,2.5724784829999408,0.06377275800059579
1000.0,150.0,399.0,402.0,404.0,3.0,5.0,8.835246803999325,0.25063056199996936
1000.0,150.0,399.0,402.0,404.0,3.0,5.0,9.252731792999839,0.26615370900071866
1000.0,150.0,394.0,398.0,400.0,4.0,6.0,10.519740195999475,0.2759845459995631
