Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
scholl_1,50,150,24,24,25,0,1,0.0,0.0
scholl_1,50,120,28,30,30,2,2,0.03,0.0
scholl_1,50,150,22,22,22,0,0,0.0,0.0
scholl_1,50,120,30,38,38,8,8,0.03,0.0
scholl_1,50,150,21,21,22,0,1,0.0,0.0
scholl_1,50,120,23,26,26,3,3,0.03,0.0
scholl_1,50,150,22,23,23,1,1,0.04,0.0
scholl_1,50,120,26,29,29,3,3,0.04,0.0
scholl_1,50,150,21,21,21,0,0,0.0,0.0
scholl_1,50,150,16,16,16,0,0,0.0,0.0
scholl_1,50,100,26,28,28,2,2,0.04,0.0
scholl_1,50,120,22,23,23,1,1,0.05,0.0
scholl_1,50,150,22,22,22,0,0,0.0,0.0
scholl_1,50,100,25,25,25,0,0,0.0,0.0
scholl_1,50,120,22,22,22,0,0,0.0,0.0
scholl_1,50,120,28,32,32,4,4,0.04,0.0
scholl_1,50,120,26,27,27,1,1,0.04,0.0
scholl_1,50,120,28,31,31,3,3,0.04,0.0
scholl_1,50,100,33,37,37,4,4,0.05,0.0
scholl_1,50,100,31,35,35,4,4,0.04,0.0
scholl_1,50,120,22,23,23,1,1,0.05,0.0
scholl_1,50,150,22,22,22,0,0,0.0,0.0
scholl_1,50,100,24,25,25,1,1,0.04,0.0
scholl_1,50,150,21,21,21,0,0,0.0,0.0
scholl_1,50,120,24,24,24,0,0,0.0,0.0
scholl_1,50,100,28,30,30,2,2,0.04,0.0
scholl_1,50,150,22,23,23,1,1,0.04,0.0
scholl_1,50,100,32,35,35,3,3,0.04,0.0
scholl_1,50,150,21,21,22,0,1,0.0,0.0
scholl_1,50,120,15,15,15,0,0,0.0,0.0
scholl_1,50,100,27,29,29,2,2,0.05,0.0
scholl_1,50,120,22,22,22,0,0,0.0,0.0
scholl_1,50,120,20,21,21,1,1,0.05,0.0
scholl_1,50,120,17,17,17,0,0,0.0,0.0
scholl_1,50,100,24,26,26,2,2,0.05,0.0
scholl_1,50,100,28,30,30,2,2,0.06,0.0
scholl_1,50,120,26,28,28,2,2,0.04,0.0
scholl_1,50,150,18,18,18,0,0,0.0,0.0
scholl_1,50,120,23,23,24,0,1,0.0,0.0
scholl_1,50,150,24,25,25,1,1,0.04,0.0
scholl_1,50,100,34,39,39,5,5,0.04,0.0
scholl_1,50,150,21,22,22,1,1,0.05,0.0
scholl_1,50,100,30,31,31,1,1,0.04,0.0
scholl_1,50,100,33,41,41,8,8,0.04,0.0
scholl_1,50,100,34,38,38,4,4,0.05,0.0
scholl_1,50,150,17,17,17,0,0,0.0,0.0
scholl_1,50,100,35,40,40,5,5,0.05,0.0
scholl_1,50,100,32,37,37,5,5,0.05,0.0
scholl_1,50,150,21,21,21,0,0,0.0,0.0
scholl_1,50,100,25,25,26,0,1,0.0,0.0
scholl_1,50,120,20,21,21,1,1,0.05,0.0
scholl_1,50,120,25,26,26,1,1,0.04,0.0
scholl_1,50,100,31,35,35,4,4,0.08,0.0
scholl_1,50,150,16,17,17,1,1,0.11,0.0
scholl_1,50,100,25,26,26,1,1,0.09,0.0
scholl_1,50,100,32,36,36,4,4,0.14,0.0
scholl_1,50,150,16,16,16,0,0,0.01,0.0
scholl_1,50,120,23,24,24,1,1,0.06,0.0
scholl_1,50,150,19,19,19,0,0,0.0,0.0
scholl_1,50,100,27,28,28,1,1,0.08,0.0
scholl_1,50,150,18,18,19,0,1,0.01,0.0
scholl_1,50,120,28,33,33,5,5,0.05,0.0
scholl_1,50,150,23,24,24,1,1,0.05,0.0
scholl_1,50,150,24,25,25,1,1,0.04,0.0
scholl_1,50,150,21,22,22,1,1,0.05,0.0
scholl_1,50,100,32,35,35,3,3,0.06,0.0
scholl_1,50,120,27,30,30,3,3,0.05,0.0
scholl_1,50,150,22,23,23,1,1,0.07,0.0
scholl_1,50,120,25,26,26,1,1,0.05,0.0
scholl_1,50,150,17,17,17,0,0,0.0,0.0
scholl_1,50,120,20,21,21,1,1,0.08,0.0
scholl_1,50,150,21,22,22,1,1,0.06,0.0
scholl_1,50,120,28,32,32,4,4,0.04,0.0
scholl_1,50,120,28,32,32,4,4,0.06,0.0
scholl_1,50,120,24,25,25,1,1,0.1,0.0
scholl_1,50,100,31,33,33,2,2,0.06,0.0
scholl_1,50,120,27,30,30,3,3,0.04,0.0
scholl_1,50,150,19,20,20,1,1,0.06,0.0
scholl_1,50,100,31,34,34,3,3,0.05,0.0
scholl_1,50,100,31,33,33,2,2,0.07,0.0
scholl_1,50,120,22,24,24,2,2,0.05,0.0
scholl_1,50,150,21,21,21,0,0,0.0,0.0
scholl_1,50,120,25,25,25,0,0,0.0,0.0
scholl_1,50,100,27,28,28,1,1,0.04,0.0
scholl_1,50,100,29,33,33,4,4,0.07,0.0
scholl_1,50,100,28,31,31,3,3,0.05,0.0
scholl_1,50,100,32,36,36,4,4,0.04,0.0
scholl_1,50,150,22,22,23,0,1,0.0,0.0
scholl_1,50,120,21,21,21,0,0,0.0,0.0
scholl_1,50,100,31,36,36,5,5,0.06,0.0
scholl_1,50,100,33,38,38,5,5,0.04,0.0
scholl_1,50,100,26,28,28,2,2,0.05,0.0
scholl_1,50,120,28,30,30,2,2,0.05,0.0
scholl_1,50,150,23,24,24,1,1,0.05,0.0
scholl_1,50,120,28,30,30,2,2,0.04,0.0
scholl_1,50,100,34,37,38,3,4,0.05,0.0
scholl_1,50,120,21,22,22,1,1,0.07,0.0
scholl_1,50,120,26,29,29,3,3,0.05,0.0
scholl_1,50,150,21,22,22,1,1,0.05,0.0
scholl_1,50,150,20,20,20,0,0,0.0,0.0
scholl_1,50,120,26,29,29,3,3,0.05,0.0
scholl_1,50,120,28,31,31,3,3,0.05,0.0
scholl_1,50,120,26,28,28,2,2,0.06,0.0
scholl_1,50,150,19,19,19,0,0,0.0,0.0
scholl_1,50,120,27,30,30,3,3,0.05,0.0
scholl_1,50,100,24,25,25,1,1,0.04,0.0
scholl_1,50,100,33,42,42,9,9,0.04,0.0
scholl_1,50,100,33,38,38,5,5,0.04,0.0
scholl_1,50,150,20,20,20,0,0,0.0,0.0
