Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,22,23,2,3,0.06,0.0
triplet,60,1000,20,21,24,1,4,0.06,0.0
triplet,60,1000,20,22,23,2,3,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,21,24,1,4,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,24,1,4,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,22,24,2,4,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,22,23,2,3,0.07,0.0
triplet,120,1000,40,42,46,2,6,0.16,0.0
triplet,120,1000,40,43,47,3,7,0.15,0.0
triplet,120,1000,40,43,45,3,5,0.15,0.0
triplet,120,1000,40,43,46,3,6,0.16,0.0
triplet,120,1000,40,43,46,3,6,0.16,0.0
triplet,120,1000,40,42,46,2,6,0.16,0.0
triplet,120,1000,40,43,45,3,5,0.19,0.0
triplet,120,1000,40,42,46,2,6,0.16,0.0
triplet,120,1000,40,42,45,2,5,0.15,0.0
triplet,120,1000,40,43,46,3,6,0.15,0.0
triplet,120,1000,40,41,45,1,5,0.18,0.0
triplet,120,1000,40,43,45,3,5,0.16,0.0
triplet,120,1000,40,43,46,3,6,0.17,0.0
triplet,120,1000,40,42,46,2,6,0.17,0.0
triplet,120,1000,40,43,46,3,6,0.18,0.0
triplet,120,1000,40,42,46,2,6,0.17,0.0
triplet,120,1000,40,43,46,3,6,0.15,0.0
triplet,120,1000,40,43,46,3,6,0.17,0.0
triplet,120,1000,40,43,46,3,6,0.16,0.0
triplet,120,1000,40,44,46,4,6,0.16,0.0
triplet,249,1000,83,88,94,5,11,0.51,0.01
triplet,249,1000,83,90,95,7,12,0.51,0.01
triplet,249,1000,83,89,95,6,12,0.49,0.01
triplet,249,1000,83,88,95,5,12,0.49,0.01
triplet,249,1000,83,89,96,6,13,0.49,0.01
triplet,249,1000,83,89,94,6,11,0.5,0.01
triplet,249,1000,83,89,94,6,11,0.51,0.01
triplet,249,1000,83,88,95,5,12,0.52,0.01
triplet,249,1000,83,89,96,6,13,0.53,0.01
triplet,249,1000,83,89,95,6,12,0.5,0.01
triplet,249,1000,83,90,95,7,12,0.51,0.01
triplet,249,1000,83,88,95,5,12,0.5,0.01
triplet,249,1000,83,89,95,6,12,0.49,0.01
triplet,249,1000,83,89,94,6,11,0.49,0.01
triplet,249,1000,83,89,94,6,11,0.53,0.01
triplet,249,1000,83,89,95,6,12,0.51,0.01
triplet,249,1000,83,88,96,5,13,0.49,0.01
triplet,249,1000,83,89,95,6,12,0.5,0.01
triplet,249,1000,83,88,96,5,13,0.49,0.01
triplet,249,1000,83,91,96,8,13,0.49,0.01
triplet,501,1000,167,182,190,15,23,1.79,0.05
triplet,501,1000,167,181,189,14,22,1.74,0.05
triplet,501,1000,167,182,190,15,23,1.76,0.05
triplet,501,1000,167,181,190,14,23,1.69,0.05
triplet,501,1000,167,181,189,14,22,1.69,0.05
triplet,501,1000,167,179,190,12,23,1.68,0.05
triplet,501,1000,167,184,190,17,23,1.7,0.05
triplet,501,1000,167,182,191,15,24,1.79,0.05
triplet,501,1000,167,179,190,12,23,1.75,0.05
triplet,501,1000,167,181,191,14,24,1.74,0.05
triplet,501,1000,167,178,189,11,22,1.7,0.05
triplet,501,1000,167,181,191,14,24,1.68,0.05
triplet,501,1000,167,181,190,14,23,1.7,0.05
triplet,501,1000,167,182,190,15,23,1.74,0.05
triplet,501,1000,167,182,190,15,23,1.7,0.05
triplet,501,1000,167,182,190,15,23,1.72,0.05
triplet,501,1000,167,180,190,13,23,1.74,0.05
triplet,501,1000,167,180,189,13,22,1.7,0.05
triplet,501,1000,167,184,191,17,24,1.73,0.05
triplet,501,1000,167,184,191,17,24,1.76,0.05
