Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.08,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.08,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.08,0.0
triplet,60,1000,20,21,24,1,4,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,22,23,2,3,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,24,1,4,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,24,1,4,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.07,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,21,24,1,4,0.06,0.0
triplet,60,1000,20,21,23,1,3,0.06,0.0
triplet,60,1000,20,22,23,2,3,0.08,0.0
triplet,120,1000,40,42,46,2,6,0.17,0.0
triplet,120,1000,40,43,47,3,7,0.21,0.0
triplet,120,1000,40,43,45,3,5,0.17,0.0
triplet,120,1000,40,42,46,2,6,0.18,0.0
triplet,120,1000,40,41,46,1,6,0.17,0.0
triplet,120,1000,40,43,46,3,6,0.16,0.0
triplet,120,1000,40,42,45,2,5,0.17,0.0
triplet,120,1000,40,42,46,2,6,0.17,0.0
triplet,120,1000,40,42,45,2,5,0.17,0.0
triplet,120,1000,40,43,46,3,6,0.16,0.0
triplet,120,1000,40,42,45,2,5,0.16,0.0
triplet,120,1000,40,42,45,2,5,0.2,0.0
triplet,120,1000,40,43,46,3,6,0.17,0.0
triplet,120,1000,40,43,46,3,6,0.18,0.0
triplet,120,1000,40,42,46,2,6,0.15,0.0
triplet,120,1000,40,43,46,3,6,0.18,0.0
triplet,120,1000,40,42,46,2,6,0.16,0.0
triplet,120,1000,40,43,46,3,6,0.17,0.0
triplet,120,1000,40,42,46,2,6,0.17,0.0
triplet,120,1000,40,42,46,2,6,0.16,0.0
triplet,249,1000,83,89,94,6,11,0.55,0.01
triplet,249,1000,83,89,95,6,12,0.54,0.01
triplet,249,1000,83,90,95,7,12,0.62,0.01
triplet,249,1000,83,89,95,6,12,0.53,0.01
triplet,249,1000,83,90,96,7,13,0.56,0.02
triplet,249,1000,83,89,94,6,11,0.58,0.01
triplet,249,1000,83,89,94,6,11,0.51,0.01
triplet,249,1000,83,89,95,6,12,0.55,0.01
triplet,249,1000,83,89,96,6,13,0.5,0.01
triplet,249,1000,83,88,95,5,12,0.52,0.01
triplet,249,1000,83,88,95,5,12,0.51,0.01
triplet,249,1000,83,90,95,7,12,0.54,0.01
triplet,249,1000,83,88,95,5,12,0.52,0.01
triplet,249,1000,83,88,94,5,11,0.54,0.01
triplet,249,1000,83,89,94,6,11,0.51,0.01
triplet,249,1000,83,89,95,6,12,0.5,0.01
triplet,249,1000,83,89,96,6,13,0.52,0.01
triplet,249,1000,83,88,95,5,12,0.55,0.01
triplet,249,1000,83,91,96,8,13,0.57,0.02
triplet,249,1000,83,89,96,6,13,0.54,0.01
triplet,501,1000,167,181,190,14,23,1.87,0.05
triplet,501,1000,167,182,189,15,22,1.82,0.05
triplet,501,1000,167,182,190,15,23,1.94,0.05
triplet,501,1000,167,181,190,14,23,2.07,0.06
triplet,501,1000,167,182,189,15,22,1.9,0.05
triplet,501,1000,167,180,190,13,23,1.75,0.05
triplet,501,1000,167,182,190,15,23,1.76,0.05
triplet,501,1000,167,183,191,16,24,1.8,0.05
triplet,501,1000,167,180,190,13,23,1.77,0.05
triplet,501,1000,167,180,191,13,24,1.91,0.05
triplet,501,1000,167,180,189,13,22,1.77,0.05
triplet,501,1000,167,180,191,13,24,1.82,0.05
triplet,501,1000,167,182,190,15,23,1.81,0.05
triplet,501,1000,167,183,190,16,23,1.73,0.05
triplet,501,1000,167,183,190,16,23,1.71,0.05
triplet,501,1000,167,183,190,16,23,1.83,0.05
triplet,501,1000,167,181,190,14,23,2.09,0.07
triplet,501,1000,167,180,189,13,22,2.05,0.05
triplet,501,1000,167,183,191,16,24,1.87,0.05
triplet,501,1000,167,183,191,16,24,1.83,0.05
