Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.67,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.67,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.7,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.69,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.69,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.67,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.66,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.68,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.67,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.7,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.67,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.66,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.65,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.69,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.65,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.66,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.64,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.66,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.66,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.68,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.84,0.0
triplet,120,1000.0,40.0,41.0,47.0,1.0,7.0,1.88,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,1.85,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.89,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.9,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.83,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,1.9,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.83,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,1.97,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.86,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,1.8,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,1.86,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.87,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.91,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.89,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.93,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.78,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.87,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.88,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,1.89,0.0
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,6.39,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.24,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.21,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.49,0.01
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,6.33,0.01
triplet,249,1000.0,83.0,85.0,94.0,2.0,11.0,5.94,0.01
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,6.37,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.38,0.01
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,6.22,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.17,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.21,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.3,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.25,0.01
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,6.36,0.01
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,6.11,0.01
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,6.13,0.01
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,6.4,0.01
triplet,249,1000.0,83.0,85.0,95.0,2.0,12.0,6.01,0.01
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,5.95,0.01
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,6.21,0.01
triplet,501,1000.0,167.0,168.0,190.0,1.0,23.0,22.31,0.05
triplet,501,1000.0,167.0,171.0,189.0,4.0,22.0,21.84,0.05
triplet,501,1000.0,167.0,168.0,190.0,1.0,23.0,22.43,0.05
triplet,501,1000.0,167.0,168.0,190.0,1.0,23.0,22.43,0.04
triplet,501,1000.0,167.0,173.0,189.0,6.0,22.0,21.99,0.04
triplet,501,1000.0,167.0,171.0,190.0,4.0,23.0,22.07,0.05
triplet,501,1000.0,167.0,172.0,190.0,5.0,23.0,22.86,0.04
triplet,501,1000.0,167.0,172.0,191.0,5.0,24.0,21.97,0.04
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,21.59,0.04
triplet,501,1000.0,167.0,172.0,191.0,5.0,24.0,21.85,0.04
triplet,501,1000.0,167.0,173.0,189.0,6.0,22.0,21.85,0.04
triplet,501,1000.0,167.0,168.0,191.0,1.0,24.0,22.01,0.04
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,22.26,0.05
triplet,501,1000.0,167.0,168.0,190.0,1.0,23.0,22.02,0.04
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,21.78,0.04
triplet,501,1000.0,167.0,171.0,190.0,4.0,23.0,22.14,0.05
triplet,501,1000.0,167.0,173.0,190.0,6.0,23.0,21.97,0.05
triplet,501,1000.0,167.0,171.0,189.0,4.0,22.0,21.81,0.05
triplet,501,1000.0,167.0,170.0,191.0,3.0,24.0,21.82,0.05
triplet,501,1000.0,167.0,169.0,191.0,2.0,24.0,21.93,0.04
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.01,0.01
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.06,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.01,0.01
uniform,120,150.0,52.0,52.0,53.0,0.0,1.0,2.35,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.05,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.0
uniform,120,150.0,50.0,51.0,51.0,1.0,1.0,2.58,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,2.6,0.0
uniform,120,150.0,46.0,47.0,47.0,1.0,1.0,2.61,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.03,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.26,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,2.36,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.38,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.15,0.0
uniform,120,150.0,48.0,49.0,49.0,1.0,1.0,2.28,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.01,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.03,0.0
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.01,0.0
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.01,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.0
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.14,0.01
uniform,250,150.0,97.0,97.0,99.0,0.0,2.0,0.9,0.01
uniform,250,150.0,103.0,104.0,105.0,1.0,2.0,8.68,0.01
uniform,250,150.0,101.0,102.0,102.0,1.0,1.0,8.44,0.01
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,8.54,0.01
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,8.64,0.01
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,8.44,0.01
uniform,250,150.0,100.0,101.0,102.0,1.0,2.0,8.55,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.35,0.01
uniform,250,150.0,105.0,105.0,106.0,0.0,1.0,4.29,0.01
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,1.77,0.01
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,0.63,0.01
uniform,250,150.0,101.0,102.0,104.0,1.0,3.0,7.93,0.01
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,0.83,0.01
uniform,250,150.0,102.0,102.0,104.0,0.0,2.0,0.48,0.01
uniform,250,150.0,99.0,100.0,100.0,1.0,1.0,7.84,0.01
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,0.04,0.01
uniform,250,150.0,101.0,102.0,103.0,1.0,2.0,8.0,0.01
