Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.86,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.79,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.91,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.74,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,2.01,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.82,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.7,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,1.72,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.64,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.76,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.66,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.7,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,1.66,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.8,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,1.73,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.92,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.85,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,1.97,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.8,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,1.58,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.75,0.0
triplet,120,1000.0,40.0,41.0,47.0,1.0,7.0,4.59,0.01
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,4.89,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,5.12,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.27,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.93,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,4.54,0.01
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.7,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,4.34,0.01
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.76,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,4.6,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,4.61,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.45,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.49,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.68,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.4,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.83,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.75,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.76,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,4.56,0.0
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,14.74,0.05
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,14.53,0.03
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,13.64,0.02
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,13.58,0.02
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,14.61,0.02
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,13.78,0.02
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,14.1,0.03
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,13.86,0.02
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,15.08,0.02
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,13.51,0.02
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,14.52,0.02
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,14.27,0.02
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,13.57,0.02
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,14.42,0.02
triplet,249,1000.0,83.0,84.0,94.0,1.0,11.0,14.59,0.02
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,14.01,0.02
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,14.06,0.02
triplet,249,1000.0,83.0,84.0,95.0,1.0,12.0,14.6,0.02
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,13.4,0.02
triplet,249,1000.0,83.0,84.0,96.0,1.0,13.0,14.97,0.02
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,49.34,0.08
triplet,501,1000.0,167.0,170.0,189.0,3.0,22.0,48.75,0.08
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,47.84,0.07
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,48.71,0.09
triplet,501,1000.0,167.0,169.0,189.0,2.0,22.0,46.07,0.07
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,45.57,0.08
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,46.79,0.08
triplet,501,1000.0,167.0,168.0,191.0,1.0,24.0,45.91,0.07
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,43.77,0.21
triplet,501,1000.0,167.0,169.0,191.0,2.0,24.0,44.34,0.08
triplet,501,1000.0,167.0,168.0,189.0,1.0,22.0,48.41,0.11
triplet,501,1000.0,167.0,170.0,191.0,3.0,24.0,47.48,0.08
triplet,501,1000.0,167.0,171.0,190.0,4.0,23.0,45.95,0.08
triplet,501,1000.0,167.0,168.0,190.0,1.0,23.0,47.76,0.08
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,46.81,0.08
triplet,501,1000.0,167.0,168.0,190.0,1.0,23.0,45.54,0.07
triplet,501,1000.0,167.0,169.0,190.0,2.0,23.0,45.54,0.07
triplet,501,1000.0,167.0,168.0,189.0,1.0,22.0,45.85,0.08
triplet,501,1000.0,167.0,169.0,191.0,2.0,24.0,48.53,0.08
triplet,501,1000.0,167.0,170.0,191.0,3.0,24.0,44.25,0.07
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.02,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,5.23,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.01
uniform,120,150.0,52.0,52.0,53.0,0.0,1.0,4.44,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,5.32,0.01
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.02,0.01
uniform,120,150.0,50.0,51.0,51.0,1.0,1.0,5.56,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,5.4,0.0
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,5.21,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,5.23,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,6.16,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,4.93,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,5.07,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,5.59,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,4.58,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.03,0.01
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,5.23,0.01
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,5.54,0.0
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.02,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.0
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,16.16,0.02
uniform,250,150.0,97.0,97.0,99.0,0.0,2.0,17.01,0.02
uniform,250,150.0,103.0,104.0,105.0,1.0,2.0,16.33,0.02
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,15.77,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,16.82,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,16.31,0.02
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,15.67,0.02
uniform,250,150.0,100.0,100.0,102.0,0.0,2.0,14.99,0.03
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,16.68,0.02
uniform,250,150.0,105.0,105.0,106.0,0.0,1.0,16.84,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,17.09,0.02
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,17.25,0.02
uniform,250,150.0,101.0,101.0,104.0,0.0,3.0,16.82,0.02
uniform,250,150.0,101.0,101.0,102.0,0.0,1.0,17.32,0.02
uniform,250,150.0,102.0,102.0,104.0,0.0,2.0,15.64,0.02
uniform,250,150.0,99.0,99.0,100.0,0.0,1.0,16.53,0.02
uniform,250,150.0,102.0,102.0,103.0,0.0,1.0,18.07,0.02
uniform,250,150.0,101.0,102.0,103.0,1.0,2.0,17.96,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,16.5,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,16.61,0.03
uniform,500,150.0,207.0,208.0,210.0,1.0,3.0,56.2,0.09
uniform,500,150.0,198.0,198.0,201.0,0.0,3.0,54.03,0.09
uniform,500,150.0,196.0,196.0,199.0,0.0,3.0,54.15,0.1
uniform,500,150.0,201.0,201.0,204.0,0.0,3.0,51.96,0.08
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,50.79,0.09
uniform,500,150.0,204.0,204.0,206.0,0.0,2.0,52.3,0.08
uniform,500,150.0,199.0,200.0,202.0,1.0,3.0,53.67,0.1
uniform,500,150.0,204.0,205.0,207.0,1.0,3.0,54.63,0.15
uniform,500,150.0,202.0,202.0,204.0,0.0,2.0,56.88,0.1
uniform,500,150.0,204.0,205.0,207.0,1.0,3.0,54.33,0.08
uniform,500,150.0,198.0,198.0,201.0,0.0,3.0,57.08,0.08
uniform,500,150.0,200.0,200.0,203.0,0.0,3.0,53.26,0.09
uniform,500,150.0,201.0,202.0,204.0,1.0,3.0,55.26,0.1
uniform,500,150.0,200.0,200.0,202.0,0.0,2.0,54.04,0.08
uniform,500,150.0,196.0,196.0,198.0,0.0,2.0,53.92,0.08
uniform,500,150.0,206.0,206.0,209.0,0.0,3.0,60.98,0.1
uniform,500,150.0,196.0,196.0,199.0,0.0,3.0,53.41,0.07
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,53.39,0.09
uniform,500,150.0,206.0,206.0,207.0,0.0,1.0,55.21,0.08
uniform,500,150.0,202.0,202.0,205.0,0.0,3.0,52.86,0.08
uniform,1000,150.0,399.0,399.0,404.0,0.0,5.0,192.73,0.32
uniform,1000,150.0,399.0,399.0,404.0,0.0,5.0,191.28,0.39
uniform,1000,150.0,394.0,395.0,400.0,1.0,6.0,200.86,0.44
uniform,1000,150.0,395.0,395.0,399.0,0.0,4.0,190.94,0.36
uniform,1000,150.0,393.0,393.0,398.0,0.0,5.0,187.3,0.32
uniform,1000,150.0,411.0,412.0,416.0,1.0,5.0,202.09,0.4
uniform,1000,150.0,411.0,411.0,416.0,0.0,5.0,198.51,0.32
uniform,1000,150.0,404.0,404.0,409.0,0.0,5.0,190.49,0.47
uniform,1000,150.0,396.0,396.0,401.0,0.0,5.0,192.67,0.38
uniform,1000,150.0,399.0,399.0,403.0,0.0,4.0,198.59,0.43
uniform,1000,150.0,404.0,404.0,407.0,0.0,3.0,196.12,0.35
uniform,1000,150.0,400.0,400.0,406.0,0.0,6.0,211.9,0.4
uniform,1000,150.0,399.0,399.0,403.0,0.0,4.0,193.75,0.39
uniform,1000,150.0,406.0,406.0,411.0,0.0,5.0,194.07,0.34
uniform,1000,150.0,397.0,398.0,402.0,1.0,5.0,194.78,0.38
uniform,1000,150.0,401.0,401.0,405.0,0.0,4.0,197.79,0.33
uniform,1000,150.0,400.0,400.0,404.0,0.0,4.0,199.39,0.35
uniform,1000,150.0,397.0,398.0,404.0,1.0,7.0,196.98,0.33
uniform,1000,150.0,404.0,404.0,408.0,0.0,4.0,212.96,0.37
uniform,1000,150.0,402.0,403.0,408.0,1.0,6.0,200.76,0.4
