Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
hard,200,100000.0,56.0,59.0,60.0,3.0,4.0,0.14,0.01
hard,200,100000.0,56.0,60.0,60.0,4.0,4.0,0.19,0.01
hard,200,100000.0,54.0,58.0,59.0,4.0,5.0,0.21,0.01
hard,200,100000.0,56.0,59.0,60.0,3.0,4.0,0.2,0.01
hard,200,100000.0,55.0,59.0,59.0,4.0,4.0,0.2,0.02
hard,200,100000.0,55.0,59.0,59.0,4.0,4.0,0.21,0.01
hard,200,100000.0,56.0,60.0,60.0,4.0,4.0,0.17,0.01
hard,200,100000.0,56.0,59.0,60.0,3.0,4.0,0.15,0.01
hard,200,100000.0,55.0,59.0,59.0,4.0,4.0,0.15,0.01
hard,200,100000.0,56.0,60.0,60.0,4.0,4.0,0.14,0.01
