Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,0,250,150,100,101,1,0,1,0.024928274000558304
uniform,1,500,150,207,210,3,0,1,0.07781718699970952
uniform,2,500,150,198,201,3,0,1,0.06977446299970325
uniform,3,250,150,97,99,2,0,1,0.022304480999991938
uniform,4,1000,150,399,404,5,0,1,0.33873659700020653
uniform,5,1000,150,399,404,5,0,1,0.29348796000067523
uniform,6,1000,150,394,400,6,0,1,0.322310262999963
uniform,7,500,150,196,199,3,0,1,0.10309245700045722
uniform,8,250,150,103,104,1,0,1,0.03600002700022742
uniform,9,250,150,101,102,1,0,1,0.04340121099994576
uniform,10,120,150,49,49,0,1,1,0.008783328999925288
uniform,11,250,150,105,107,2,0,1,0.04286267600036808
uniform,12,250,150,105,106,1,0,1,0.03976343099930091
uniform,13,1000,150,395,399,4,0,1,0.4496621859998413
uniform,14,500,150,201,204,3,0,1,0.2706973160002235
uniform,15,250,150,102,104,2,0,1,0.04266272299992124
uniform,16,120,150,49,50,1,0,1,0.018493917000341753
uniform,17,500,150,202,204,2,0,1,0.2556298429999515
uniform,18,120,150,52,52,0,1,1,0.03646537999975408
uniform,19,500,150,204,206,2,0,1,0.4812815730001603
uniform,20,120,150,52,53,1,0,1,0.03525582299971575
uniform,21,1000,150,393,397,4,0,1,1.0051174099999116
uniform,22,1000,150,411,416,5,0,1,0.7675555959995108
uniform,23,250,150,100,101,1,0,1,0.041268216999924334
uniform,24,250,150,100,101,1,0,1,0.03667246700024407
uniform,25,500,150,199,202,3,0,1,0.11588497400043707
uniform,26,250,150,105,106,1,0,1,0.03550677000021096
uniform,27,120,150,48,49,1,0,1,0.008061909999923955
uniform,28,120,150,50,50,0,1,1,0.012510697999459808
uniform,29,500,150,204,207,3,0,1,0.13949112000045716
uniform,30,500,150,202,204,2,0,1,0.12855674399997952
uniform,31,1000,150,411,415,4,0,1,0.6524700709996978
uniform,32,500,150,204,206,2,0,1,0.1274628669998492
uniform,33,500,150,198,201,3,0,1,0.1272001179995641
uniform,34,120,150,50,51,1,0,1,0.008937243999753264
uniform,35,250,150,100,101,1,0,1,0.033566265999979805
uniform,36,250,150,102,103,1,0,1,0.03425427799993486
uniform,37,120,150,49,50,1,0,1,0.009334530000160157
uniform,38,120,150,46,47,1,0,1,0.010103104000336316
uniform,39,1000,150,404,408,4,0,1,0.4288601270000072
uniform,40,1000,150,396,400,4,0,1,0.42933224699936545
uniform,41,1000,150,399,402,3,0,1,0.4238484380002774
uniform,42,500,150,200,202,2,0,1,0.12362623599983635
uniform,43,500,150,201,203,2,0,1,0.12271414499991806
uniform,44,250,150,101,103,2,0,1,0.03202157000032457
uniform,45,120,150,48,49,1,0,1,0.007583971999338246
uniform,46,500,150,200,202,2,0,1,0.10824208999929397
uniform,47,1000,150,404,407,3,0,1,0.46480476899978385
uniform,48,250,150,101,102,1,0,1,0.0344970039996042
uniform,49,250,150,102,104,2,0,1,0.027954817999670922
uniform,50,250,150,99,100,1,0,1,0.034817757999917376
uniform,51,500,150,196,198,2,0,1,0.11336817699975654
uniform,52,250,150,102,102,0,1,1,0.03590677100055473
uniform,53,500,150,206,208,2,0,1,0.11287662100039597
uniform,54,120,150,48,49,1,0,1,0.00862651400075265
uniform,55,1000,150,400,405,5,0,1,0.4689360980000856
uniform,56,500,150,196,198,2,0,1,0.12358093600050779
uniform,57,1000,150,399,403,4,0,1,0.48995985399960773
uniform,58,120,150,49,50,1,0,1,0.011867676999827381
uniform,59,120,150,49,50,1,0,1,0.012756250999700569
uniform,60,1000,150,406,411,5,0,1,0.4448493119998602
uniform,61,500,150,202,205,3,0,1,0.10205471600056626
uniform,62,1000,150,397,402,5,0,1,0.4034291509997274
uniform,63,120,150,49,50,1,0,1,0.006777333000172803
uniform,64,250,150,101,102,1,0,1,0.03361859699998604
uniform,65,1000,150,401,405,4,0,1,0.4718539460000102
uniform,66,120,150,48,49,1,0,1,0.008770004999860248
uniform,67,120,150,52,52,0,1,1,0.013460234000376659
uniform,68,500,150,206,207,1,0,1,0.11864509899987752
uniform,69,120,150,48,49,1,0,1,0.006655150999904436
uniform,70,1000,150,400,404,4,0,1,0.44340584099973057
uniform,71,120,150,46,46,0,1,1,0.007582352999634168
uniform,72,120,150,49,49,0,1,1,0.01601093099998252
uniform,73,120,150,50,50,0,1,1,0.008044369000344886
uniform,74,500,150,202,204,2,0,1,0.12832929900014278
uniform,75,250,150,100,101,1,0,1,0.03697434800051269
uniform,76,1000,150,397,403,6,0,1,0.49270613599946955
uniform,77,250,150,105,107,2,0,1,0.03570417599985376
uniform,78,1000,150,404,408,4,0,1,0.4303715320002084
uniform,79,1000,150,402,408,6,0,1,0.4586400380003397
