Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,31.05,0.08
triplet,501,1000.0,167.0,169.0,189.0,2.0,22.0,31.04,0.07
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,28.09,0.08
triplet,501,1000.0,167.0,171.0,190.0,4.0,23.0,30.43,0.08
triplet,501,1000.0,167.0,171.0,189.0,4.0,22.0,38.39,0.07
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,29.87,0.06
triplet,501,1000.0,167.0,173.0,190.0,6.0,23.0,17.91,0.05
triplet,501,1000.0,167.0,171.0,191.0,4.0,24.0,17.96,0.05
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,18.39,0.05
triplet,501,1000.0,167.0,170.0,191.0,3.0,24.0,21.22,0.08
triplet,501,1000.0,167.0,170.0,189.0,3.0,22.0,32.93,0.06
triplet,501,1000.0,167.0,170.0,191.0,3.0,24.0,18.43,0.06
triplet,501,1000.0,167.0,171.0,190.0,4.0,23.0,19.28,0.06
triplet,501,1000.0,167.0,173.0,190.0,6.0,23.0,18.99,0.05
triplet,501,1000.0,167.0,172.0,190.0,5.0,23.0,22.2,0.06
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,23.32,0.05
triplet,501,1000.0,167.0,170.0,190.0,3.0,23.0,22.31,0.07
triplet,501,1000.0,167.0,170.0,189.0,3.0,22.0,25.62,0.07
triplet,501,1000.0,167.0,169.0,191.0,2.0,24.0,25.18,0.07
triplet,501,1000.0,167.0,172.0,191.0,5.0,24.0,26.05,0.08
