Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.01,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,6.62,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.02,0.0
uniform,120,150.0,52.0,52.0,53.0,0.0,1.0,0.04,0.0
uniform,120,150.0,48.0,49.0,49.0,1.0,1.0,8.85,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.0
uniform,120,150.0,50.0,51.0,51.0,1.0,1.0,7.56,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,8.21,0.0
uniform,120,150.0,46.0,47.0,47.0,1.0,1.0,9.28,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.01,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.04,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,5.82,0.0
uniform,120,150.0,49.0,50.0,50.0,1.0,1.0,6.97,0.0
uniform,120,150.0,49.0,49.0,50.0,0.0,1.0,0.01,0.0
uniform,120,150.0,48.0,49.0,49.0,1.0,1.0,6.23,0.0
uniform,120,150.0,52.0,52.0,52.0,0.0,0.0,0.01,0.0
uniform,120,150.0,48.0,48.0,49.0,0.0,1.0,0.01,0.0
uniform,120,150.0,46.0,46.0,47.0,0.0,1.0,0.01,0.0
uniform,120,150.0,49.0,49.0,49.0,0.0,0.0,0.01,0.0
uniform,120,150.0,50.0,50.0,50.0,0.0,0.0,0.01,0.0
uniform,250,150.0,100.0,101.0,101.0,1.0,1.0,19.08,0.03
uniform,250,150.0,97.0,97.0,99.0,0.0,2.0,0.3,0.01
uniform,250,150.0,103.0,104.0,105.0,1.0,2.0,26.97,0.02
uniform,250,150.0,101.0,102.0,102.0,1.0,1.0,25.17,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,25.34,0.02
uniform,250,150.0,105.0,106.0,107.0,1.0,2.0,33.58,0.02
uniform,250,150.0,102.0,104.0,104.0,2.0,2.0,18.24,0.01
uniform,250,150.0,100.0,101.0,102.0,1.0,2.0,27.71,0.02
uniform,250,150.0,100.0,101.0,101.0,1.0,1.0,25.02,0.02
uniform,250,150.0,105.0,105.0,106.0,0.0,1.0,0.16,0.02
uniform,250,150.0,100.0,100.0,101.0,0.0,1.0,0.15,0.02
uniform,250,150.0,102.0,103.0,103.0,1.0,1.0,27.98,0.02
uniform,250,150.0,101.0,103.0,104.0,2.0,3.0,18.77,0.01
uniform,250,150.0,101.0,102.0,102.0,1.0,1.0,17.96,0.01
uniform,250,150.0,102.0,103.0,104.0,1.0,2.0,17.87,0.01
uniform,250,150.0,99.0,100.0,100.0,1.0,1.0,19.34,0.01
uniform,250,150.0,102.0,103.0,103.0,1.0,1.0,18.67,0.01
uniform,250,150.0,101.0,102.0,103.0,1.0,2.0,16.71,0.01
uniform,250,150.0,100.0,101.0,101.0,1.0,1.0,20.51,0.01
uniform,250,150.0,105.0,107.0,107.0,2.0,2.0,28.72,0.01
uniform,500,150.0,207.0,209.0,210.0,2.0,3.0,71.79,0.05
uniform,500,150.0,198.0,200.0,201.0,2.0,3.0,62.85,0.05
uniform,500,150.0,196.0,197.0,199.0,1.0,3.0,93.59,0.07
uniform,500,150.0,201.0,202.0,204.0,1.0,3.0,80.8,0.05
uniform,500,150.0,202.0,204.0,205.0,2.0,3.0,99.19,0.06
uniform,500,150.0,204.0,206.0,206.0,2.0,2.0,90.83,0.07
uniform,500,150.0,199.0,202.0,202.0,3.0,3.0,104.74,0.07
uniform,500,150.0,204.0,206.0,207.0,2.0,3.0,85.91,0.19
uniform,500,150.0,202.0,204.0,204.0,2.0,2.0,88.84,0.07
uniform,500,150.0,204.0,207.0,207.0,3.0,3.0,88.79,0.09
uniform,500,150.0,198.0,199.0,201.0,1.0,3.0,90.92,0.06
uniform,500,150.0,200.0,202.0,203.0,2.0,3.0,71.51,0.05
uniform,500,150.0,201.0,204.0,204.0,3.0,3.0,68.15,0.05
uniform,500,150.0,200.0,201.0,202.0,1.0,2.0,63.64,0.05
uniform,500,150.0,196.0,198.0,198.0,2.0,2.0,63.09,0.04
uniform,500,150.0,206.0,207.0,209.0,1.0,3.0,60.41,0.04
uniform,500,150.0,196.0,197.0,199.0,1.0,3.0,59.4,0.04
uniform,500,150.0,202.0,203.0,205.0,1.0,3.0,80.95,0.05
uniform,500,150.0,206.0,207.0,207.0,1.0,1.0,63.96,0.05
uniform,500,150.0,202.0,203.0,205.0,1.0,3.0,62.15,0.05
uniform,1000,150.0,399.0,402.0,404.0,3.0,5.0,289.68,0.27
uniform,1000,150.0,399.0,403.0,404.0,4.0,5.0,295.7,0.31
uniform,1000,150.0,394.0,397.0,400.0,3.0,6.0,323.33,0.26
