Typ,Anzahl Items,Bin-Kapazitaet,LB,Hill Climbing,First Fit Descending,Abs. LB HC,Abs. LB FFD,Zeit HC (sec),Zeit FFD (sec)
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.18,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.17,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.2,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.2,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.2,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.18,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.18,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.18,0.0
triplet,60,1000.0,20.0,21.0,24.0,1.0,4.0,0.18,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.19,0.0
triplet,60,1000.0,20.0,21.0,23.0,1.0,3.0,0.18,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.48,0.0
triplet,120,1000.0,40.0,41.0,47.0,1.0,7.0,0.49,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.5,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.48,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.49,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.49,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.5,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.53,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.49,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.45,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.52,0.0
triplet,120,1000.0,40.0,41.0,45.0,1.0,5.0,0.53,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.46,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.49,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.5,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.71,0.01
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.51,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.47,0.0
triplet,120,1000.0,40.0,42.0,46.0,2.0,6.0,0.46,0.0
triplet,120,1000.0,40.0,41.0,46.0,1.0,6.0,0.48,0.0
triplet,249,1000.0,83.0,86.0,94.0,3.0,11.0,1.44,0.01
triplet,249,1000.0,83.0,87.0,95.0,4.0,12.0,1.41,0.01
triplet,249,1000.0,83.0,86.0,95.0,3.0,12.0,1.44,0.01
triplet,249,1000.0,83.0,86.0,95.0,3.0,12.0,1.47,0.01
triplet,249,1000.0,83.0,85.0,96.0,2.0,13.0,1.49,0.01
triplet,249,1000.0,83.0,87.0,94.0,4.0,11.0,1.48,0.01
triplet,249,1000.0,83.0,87.0,94.0,4.0,11.0,1.57,0.01
triplet,249,1000.0,83.0,86.0,95.0,3.0,12.0,1.52,0.01
triplet,249,1000.0,83.0,85.0,96.0,2.0,13.0,1.49,0.01
triplet,249,1000.0,83.0,87.0,95.0,4.0,12.0,1.57,0.01
triplet,249,1000.0,83.0,86.0,95.0,3.0,12.0,1.48,0.01
triplet,249,1000.0,83.0,87.0,95.0,4.0,12.0,1.46,0.01
triplet,249,1000.0,83.0,86.0,95.0,3.0,12.0,1.49,0.01
triplet,249,1000.0,83.0,85.0,94.0,2.0,11.0,1.55,0.01
triplet,249,1000.0,83.0,85.0,94.0,2.0,11.0,1.49,0.01
triplet,249,1000.0,83.0,85.0,95.0,2.0,12.0,1.51,0.01
triplet,249,1000.0,83.0,85.0,96.0,2.0,13.0,1.65,0.01
triplet,249,1000.0,83.0,86.0,95.0,3.0,12.0,1.45,0.01
triplet,249,1000.0,83.0,86.0,96.0,3.0,13.0,1.48,0.01
triplet,249,1000.0,83.0,85.0,96.0,2.0,13.0,1.48,0.01
triplet,501,1000.0,167.0,175.0,190.0,8.0,23.0,4.94,0.04
triplet,501,1000.0,167.0,174.0,189.0,7.0,22.0,5.01,0.04
triplet,501,1000.0,167.0,178.0,190.0,11.0,23.0,4.87,0.04
triplet,501,1000.0,167.0,178.0,190.0,11.0,23.0,5.02,0.04
triplet,501,1000.0,167.0,175.0,189.0,8.0,22.0,4.92,0.05
triplet,501,1000.0,167.0,174.0,190.0,7.0,23.0,4.94,0.05
triplet,501,1000.0,167.0,177.0,190.0,10.0,23.0,7.9,0.05
triplet,501,1000.0,167.0,176.0,191.0,9.0,24.0,6.45,0.05
triplet,501,1000.0,167.0,175.0,190.0,8.0,23.0,5.12,0.05
triplet,501,1000.0,167.0,174.0,191.0,7.0,24.0,5.14,0.05
triplet,501,1000.0,167.0,176.0,189.0,9.0,22.0,5.11,0.05
triplet,501,1000.0,167.0,176.0,191.0,9.0,24.0,5.34,0.05
triplet,501,1000.0,167.0,175.0,190.0,8.0,23.0,5.12,0.04
triplet,501,1000.0,167.0,173.0,190.0,6.0,23.0,5.71,0.05
triplet,501,1000.0,167.0,176.0,190.0,9.0,23.0,4.94,0.04
triplet,501,1000.0,167.0,175.0,190.0,8.0,23.0,6.28,0.05
