Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,0,250,150,100,101,1,0,1,0.02746370899876638
uniform,0,250,150,100,101,1,0,2,0.04324523799914459
uniform,0,250,150,100,101,1,0,3,0.05920363599943812
uniform,0,250,150,100,101,1,0,4,0.0717722089993913
uniform,0,250,150,100,101,1,0,5,0.08659251800054335
uniform,0,250,150,100,101,1,0,6,0.09957907599891769
uniform,0,250,150,100,101,1,0,7,0.11067560399897047
uniform,0,250,150,100,101,1,0,8,0.12526519499988353
uniform,0,250,150,100,100,0,1,9,0.14469755199934298
uniform,1,500,150,207,210,3,0,1,0.07750397800009523
uniform,1,500,150,207,210,3,0,2,0.11984788500012655
uniform,1,500,150,207,210,3,0,3,0.15930066100008844
uniform,1,500,150,207,210,3,0,4,0.20190958899911493
uniform,1,500,150,207,210,3,0,5,0.24653043699981936
uniform,1,500,150,207,209,2,0,6,0.2906227210005454
uniform,1,500,150,207,209,2,0,7,0.33606136299931677
uniform,1,500,150,207,209,2,0,8,0.38223254500007897
uniform,1,500,150,207,209,2,0,9,0.4273859620006988
uniform,1,500,150,207,209,2,0,10,0.4709091860004264
uniform,1,500,150,207,209,2,0,11,0.5178506730007939
uniform,1,500,150,207,209,2,0,12,0.562096997999106
uniform,1,500,150,207,209,2,0,13,0.6069872049993137
uniform,1,500,150,207,209,2,0,14,0.6485101420003048
uniform,1,500,150,207,209,2,0,15,0.6908116829999926
uniform,1,500,150,207,209,2,0,16,0.7318962339995778
uniform,1,500,150,207,209,2,0,17,0.7768356720007432
uniform,1,500,150,207,209,2,0,18,0.8241579419991467
uniform,1,500,150,207,209,2,0,19,0.8742712549992575
uniform,1,500,150,207,209,2,0,20,0.9229447359994083
uniform,1,500,150,207,209,2,0,21,0.9723434330007876
uniform,1,500,150,207,209,2,0,22,1.0268752299998596
uniform,2,500,150,198,201,3,0,1,0.07781579599941324
uniform,2,500,150,198,201,3,0,2,0.12671244800003478
uniform,2,500,150,198,201,3,0,3,0.17310337100025208
uniform,2,500,150,198,200,2,0,4,0.22657045800042397
uniform,2,500,150,198,200,2,0,5,0.27383365999958187
uniform,2,500,150,198,200,2,0,6,0.3266379880005843
uniform,2,500,150,198,200,2,0,7,0.37190501900113304
uniform,2,500,150,198,200,2,0,8,0.42487148600048386
uniform,2,500,150,198,200,2,0,9,0.47443755700078327
uniform,2,500,150,198,200,2,0,10,0.5408926290001546
uniform,2,500,150,198,200,2,0,11,0.6024997849999636
uniform,2,500,150,198,200,2,0,12,0.6594428059997881
uniform,2,500,150,198,200,2,0,13,0.6989606240003923
uniform,2,500,150,198,200,2,0,14,0.7536121150005783
uniform,2,500,150,198,200,2,0,15,0.7961496530006116
uniform,2,500,150,198,200,2,0,16,0.8481930930011004
uniform,2,500,150,198,200,2,0,17,0.8976704720007547
uniform,2,500,150,198,200,2,0,18,0.9467015909995098
uniform,2,500,150,198,200,2,0,19,0.9947685240003921
uniform,2,500,150,198,200,2,0,20,1.0338777970009687
uniform,3,250,150,97,99,2,0,1,0.02245622599912167
uniform,3,250,150,97,99,2,0,2,0.035235714000009466
uniform,3,250,150,97,99,2,0,3,0.047808214998440235
uniform,3,250,150,97,99,2,0,4,0.05980386400005955
uniform,3,250,150,97,99,2,0,5,0.0752069139998639
uniform,3,250,150,97,99,2,0,6,0.08942634899904078
uniform,3,250,150,97,99,2,0,7,0.10598341099830577
uniform,3,250,150,97,99,2,0,8,0.12149924099867349
uniform,3,250,150,97,99,2,0,9,0.13554856699920492
uniform,3,250,150,97,99,2,0,10,0.1507482719989639
uniform,3,250,150,97,99,2,0,11,0.16581901799872867
uniform,3,250,150,97,99,2,0,12,0.17944771499969647
uniform,3,250,150,97,98,1,0,13,0.19261973899847362
uniform,3,250,150,97,98,1,0,14,0.20817586299926916
uniform,3,250,150,97,98,1,0,15,0.22564540399980615
uniform,3,250,150,97,98,1,0,16,0.2398809309997887
uniform,3,250,150,97,98,1,0,17,0.2551934279999841
uniform,3,250,150,97,98,1,0,18,0.2724021689991787
uniform,3,250,150,97,98,1,0,19,0.28755429899865703
uniform,3,250,150,97,98,1,0,20,0.30110456199872715
uniform,3,250,150,97,98,1,0,21,0.316643619999013
uniform,3,250,150,97,98,1,0,22,0.3319213109989505
uniform,3,250,150,97,98,1,0,23,0.347610322998662
uniform,3,250,150,97,98,1,0,24,0.36460344399893074
uniform,3,250,150,97,98,1,0,25,0.3811893489983049
uniform,3,250,150,97,98,1,0,26,0.39529183299964643
uniform,3,250,150,97,98,1,0,27,0.4109880269988935
uniform,3,250,150,97,98,1,0,28,0.42447096499927284
uniform,3,250,150,97,98,1,0,29,0.43865978099893255
uniform,3,250,150,97,98,1,0,30,0.45554164099849004
uniform,3,250,150,97,98,1,0,31,0.4757887389987445
uniform,3,250,150,97,98,1,0,32,0.49148866899849963
uniform,3,250,150,97,98,1,0,33,0.5064569989990559
uniform,3,250,150,97,98,1,0,34,0.5185006679985236
uniform,3,250,150,97,98,1,0,35,0.5329309619992273
uniform,3,250,150,97,98,1,0,36,0.5449982829995861
uniform,3,250,150,97,98,1,0,37,0.557598984998549
uniform,3,250,150,97,98,1,0,38,0.5707339009986754
uniform,3,250,150,97,98,1,0,39,0.5830332419991464
uniform,3,250,150,97,98,1,0,40,0.5947408329993777
uniform,3,250,150,97,98,1,0,41,0.6097352349988796
uniform,3,250,150,97,98,1,0,42,0.6256601959994441
uniform,3,250,150,97,98,1,0,43,0.6394206629993278
uniform,3,250,150,97,98,1,0,44,0.6563104389988439
uniform,3,250,150,97,98,1,0,45,0.6718186349989992
uniform,3,250,150,97,98,1,0,46,0.6870949659987673
uniform,3,250,150,97,98,1,0,47,0.7043694789990695
uniform,3,250,150,97,98,1,0,48,0.71983316999831
uniform,3,250,150,97,98,1,0,49,0.7335030629983521
uniform,3,250,150,97,98,1,0,50,0.7455558729998302
uniform,3,250,150,97,98,1,0,51,0.7610994299993763
uniform,3,250,150,97,98,1,0,52,0.7745208569995157
uniform,3,250,150,97,98,1,0,53,0.7871929829998408
uniform,3,250,150,97,98,1,0,54,0.8026569209996524
uniform,3,250,150,97,98,1,0,55,0.8192565689987532
