Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,0,250,150,100,101,1,0,1,0.02348363399869413
uniform,0,250,150,100,101,1,0,2,0.04104162899966468
uniform,0,250,150,100,101,1,0,3,0.05787570699976641
uniform,0,250,150,100,101,1,0,4,0.07120550000036019
uniform,0,250,150,100,101,1,0,5,0.08680039099999703
uniform,0,250,150,100,101,1,0,6,0.1014237499985029
uniform,0,250,150,100,101,1,0,7,0.11740528000154882
uniform,0,250,150,100,101,1,0,8,0.1309402320002846
uniform,0,250,150,100,101,1,0,9,0.14655975200003013
uniform,0,250,150,100,101,1,0,10,0.160422605000349
uniform,0,250,150,100,101,1,0,11,0.17339847699986422
uniform,0,250,150,100,101,1,0,12,0.1885610639983497
uniform,0,250,150,100,101,1,0,13,0.20369798400133732
uniform,0,250,150,100,101,1,0,14,0.2179244959988864
uniform,0,250,150,100,101,1,0,15,0.23238224499800708
uniform,0,250,150,100,101,1,0,16,0.24572227599855978
uniform,0,250,150,100,101,1,0,17,0.2566497049992904
uniform,0,250,150,100,101,1,0,18,0.2708223449990328
uniform,0,250,150,100,101,1,0,19,0.2840397740001208
uniform,0,250,150,100,101,1,0,20,0.2991540580005676
uniform,0,250,150,100,101,1,0,21,0.31461335999847506
uniform,0,250,150,100,101,1,0,22,0.32874172599986196
uniform,0,250,150,100,101,1,0,23,0.3439865889995417
uniform,0,250,150,100,101,1,0,24,0.35961480799960555
uniform,0,250,150,100,101,1,0,25,0.37343565199989825
uniform,0,250,150,100,101,1,0,26,0.38725554900156567
uniform,0,250,150,100,101,1,0,27,0.4028021769991028
uniform,0,250,150,100,101,1,0,28,0.416250066999055
uniform,0,250,150,100,101,1,0,29,0.42809983899860526
uniform,0,250,150,100,101,1,0,30,0.4388693549990421
uniform,0,250,150,100,101,1,0,31,0.45574777599904337
uniform,0,250,150,100,101,1,0,32,0.47329066499878536
uniform,0,250,150,100,101,1,0,33,0.485499501999584
uniform,0,250,150,100,101,1,0,34,0.4996971489999851
uniform,0,250,150,100,101,1,0,35,0.5118926459981594
