Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time,constraint_checks,num_move22,num_move21,num_move11
uniform,0,250,150,100,101,1,0,1,0.03273010300472379,26925,19,1,9
uniform,0,250,150,100,101,1,0,2,0.056579750002129,42273,24,2,17
uniform,0,250,150,100,101,1,0,3,0.0849032289988827,59551,54,3,53
uniform,0,250,150,100,100,0,1,4,0.10299621298327111,75992,65,3,58
uniform,1,500,150,207,210,3,0,1,0.0822055260068737,106081,17,2,2
uniform,1,500,150,207,210,3,0,2,0.1400434880051762,166101,29,4,9
uniform,1,500,150,207,210,3,0,3,0.18685230100527406,212534,32,4,16
uniform,1,500,150,207,210,3,0,4,0.23163306998321787,259584,37,6,27
uniform,1,500,150,207,210,3,0,5,0.28743452599155717,319746,48,9,36
uniform,1,500,150,207,210,3,0,6,0.3337334810057655,367785,72,11,65
uniform,1,500,150,207,210,3,0,7,0.38971522700740024,427254,84,14,80
uniform,1,500,150,207,209,2,0,8,0.4501011800020933,478511,122,16,125
uniform,1,500,150,207,209,2,0,9,0.49710424800287,531449,129,18,131
uniform,1,500,150,207,209,2,0,10,0.5466295779915527,585608,130,19,139
uniform,1,500,150,207,209,2,0,11,0.5927990929922089,640315,137,20,150
uniform,1,500,150,207,209,2,0,12,0.6472138999961317,694965,161,21,165
uniform,1,500,150,207,209,2,0,13,0.7159203839837573,755452,177,22,172
uniform,1,500,150,207,209,2,0,14,0.7717496079858392,811378,188,23,182
uniform,1,500,150,207,209,2,0,15,0.818896537006367,863433,196,24,192
uniform,1,500,150,207,209,2,0,16,0.8640592559822835,917034,205,25,205
uniform,1,500,150,207,209,2,0,17,0.910236025985796,968988,220,26,213
uniform,1,500,150,207,209,2,0,18,0.9558318539930042,1022674,224,27,218
uniform,1,500,150,207,209,2,0,19,1.0004959059879184,1074408,233,28,235
uniform,2,500,150,198,201,3,0,1,0.07740740198642015,101353,28,0,4
uniform,2,500,150,198,201,3,0,2,0.16579688698402606,171209,49,2,14
uniform,2,500,150,198,201,3,0,3,0.20813188899774104,222249,58,3,28
uniform,2,500,150,198,200,2,0,4,0.26544000700232573,275444,107,6,53
uniform,2,500,150,198,200,2,0,5,0.31023934998665936,326302,121,7,62
uniform,2,500,150,198,200,2,0,6,0.3511157679895405,377485,125,7,68
uniform,2,500,150,198,200,2,0,7,0.4164731969940476,435507,148,10,84
uniform,2,500,150,198,200,2,0,8,0.4600017009943258,486117,158,12,92
uniform,2,500,150,198,199,1,0,9,0.5054747870017309,537235,167,13,105
uniform,2,500,150,198,199,1,0,10,0.5483229979872704,588790,171,13,109
uniform,2,500,150,198,199,1,0,11,0.6099606789939571,651072,178,13,121
uniform,2,500,150,198,199,1,0,12,0.6544820669805631,703960,185,14,125
uniform,2,500,150,198,199,1,0,13,0.6979036369884852,757642,190,14,128
uniform,2,500,150,198,199,1,0,14,0.7443419589835685,811083,195,14,129
uniform,2,500,150,198,199,1,0,15,0.7962113429966848,865860,201,14,133
uniform,2,500,150,198,199,1,0,16,0.8542753299989272,920860,211,15,142
uniform,2,500,150,198,199,1,0,17,0.9007918819843326,974035,218,16,147
uniform,2,500,150,198,199,1,0,18,0.9522564389917534,1029974,234,17,158
uniform,2,500,150,198,199,1,0,19,1.0035057369968854,1082297,246,19,162
uniform,3,250,150,97,99,2,0,1,0.023760767973726615,28511,0,0,0
uniform,3,250,150,97,98,1,0,2,0.03950708798947744,43329,7,1,3
uniform,3,250,150,97,98,1,0,3,0.06066373398061842,60367,28,2,9
uniform,3,250,150,97,98,1,0,4,0.07553649798501283,71932,38,3,11
uniform,3,250,150,97,98,1,0,5,0.09215839498210698,87269,39,4,15
uniform,3,250,150,97,98,1,0,6,0.11177428797236644,101806,52,5,27
uniform,3,250,150,97,98,1,0,7,0.12745781999547035,114394,69,7,34
uniform,3,250,150,97,98,1,0,8,0.14043879898963496,126196,71,7,37
uniform,3,250,150,97,98,1,0,9,0.15582745999563485,138849,74,8,42
uniform,3,250,150,97,98,1,0,10,0.17255198897328228,151319,75,8,47
uniform,3,250,150,97,98,1,0,11,0.18660689998068847,163418,79,8,50
uniform,3,250,150,97,98,1,0,12,0.20753345897537656,179925,82,8,55
uniform,3,250,150,97,98,1,0,13,0.2211798989737872,191316,88,9,60
